County,Cases,Deaths
Adams,248,18
Alcorn,53,1
Amite,80,2
Attala,345,23
Benton,25,0
Bolivar,242,13
Calhoun,110,4
Carroll,147,11
Chickasaw,232,18
Choctaw,70,4
Claiborne,211,10
Clarke,194,22
Clay,234,7
Coahoma,177,6
Copiah,536,13
Covington,264,5
Desoto,1201,15
Forrest,775,42
Franklin,33,2
George,66,3
Greene,78,7
Grenada,288,5
Hancock,116,13
Harrison,634,7
Hinds,1893,36
Holmes,507,39
Humphreys,111,9
Issaquena,6,1
Itawamba,113,8
Jackson,473,16
Jasper,229,6
Jefferson,78,3
Jefferson Davis,100,4
Jones,1014,48
Kemper,171,13
Lafayette,320,4
Lamar,382,7
Lauderdale,869,78
Lawrence,147,1
Leake,534,17
Lee,447,15
Leflore,449,48
Lincoln,420,33
Lowndes,425,10
Madison,1127,32
Marion,225,11
Marshall,171,3
Monroe,338,28
Montgomery,111,2
Neshoba,932,64
Newton,330,8
Noxubee,233,7
Oktibbeha,465,22
Panola,237,6
Pearl River,236,32
Perry,56,4
Pike,331,11
Pontotoc,194,3
Prentiss,91,3
Quitman,63,0
Rankin,715,12
Scott,725,14
Sharkey,22,0
Simpson,195,3
Smith,204,11
Stone,49,1
Sunflower,232,6
Tallahatchie,91,1
Tate,233,6
Tippah,116,11
Tishomingo,60,1
Tunica,82,3
Union,160,8
Walthall,165,3
Warren,392,17
Washington,403,9
Wayne,468,10
Webster,123,10
Wilkinson,89,9
Winston,228,4
Yalobusha,148,7
Yazoo,444,6
Total,25531,1035
