County,Cases,Deaths
Allegan,3,0
Antrim,1,0
Bay,1,0
Berrien,4,1
Branch,1,0
Calhoun,2,0
Cass,2,0
Cheboygan,2,0
Clinton,17,0
Crawford,3,1
Detroit City,453,29
Eaton,4,0
Emmet,1,0
Genesee,70,7
Grand Traverse,1,0
Gratiot,1,0
Hillsdale,9,1
Ingham,11,0
Ionia,1,1
Iosco,1,0
Isabella,6,0
Jackson,11,0
Kalamazoo,6,1
Kalkaska,2,0
Kent,10,1
Lapeer,7,3
Leelanau,1,0
Livingston,12,0
Mackinac,1,0
Macomb,255,21
Manistee,3,0
Marquette,4,0
Mason,1,0.0
Mecosta,2,0
Monroe,12,0
Montcalm,1,1
Muskegon,8,0
Newaygo,1,0
Oakland,356,20
Oceana,0,1
Otsego,2,0
Ottawa,8,0
Roscommon,1,0
Saginaw,14,1
Sanilac,3,0
St Clair,19,0
St Joseph,3,0
Tuscola,4,0
Van Buren,1,0
Washtenaw,20,1
Wayne,322,27
Wexford,2,0
Other*,2,0
Unknown,36,1
Out of State,27,0
Total,1751,118
