"Atlantic","237","3521"
"Bergen","1787","20940"
"Burlington","435","6094"
"Camden","525","8689"
"CapeMay","82","843"
"Cumberland","146","3386"
"Essex","1876","19840"
"Gloucester","207","3339"
"Hudson","1341","19792"
"Hunterdon","70","1151"
"Mercer","583","8164"
"Middlesex","1206","18015"
"Monmouth","759","10407"
"Morris","682","7304"
"Ocean","953","10668"
"Passaic","1095","17801"
"Salem","81","912"
"Somerset","489","5282"
"Sussex","161","1343"
"Union","1181","16812"
"Warren","158","1352"
"Total","14054","185655"
