"Atlantic","237","3509"
"Bergen","1788","20899"
"Burlington","434","6069"
"Camden","524","8645"
"CapeMay","82","842"
"Cumberland","146","3377"
"Essex","1876","19813"
"Gloucester","207","3310"
"Hudson","1338","19749"
"Hunterdon","70","1150"
"Mercer","582","8143"
"Middlesex","1204","17988"
"Monmouth","759","10368"
"Morris","682","7286"
"Ocean","953","10652"
"Passaic","1095","17748"
"Salem","81","907"
"Somerset","489","5275"
"Sussex","161","1341"
"Union","1180","16780"
"Warren","158","1347"
"Total","14046","185198"
