Addison County,67,2
Bennington County,69,1
Caledonia County,16,0
Chittenden County,579,39
Essex County,3,0
Franklin County,102,6
Grand Isle County,8,0
Lamoille County,30,1
Orange County,9,0
Orleans County,14,0
Pending Validation,5,0
Rutland County,61,1
Washington County,41,1
Windham County,85,3
Windsor County,55,2
Total,1144,56
