County,Cases,Deaths
Adams,27,0
Barnes,255,0
Benson,368,7
Billings,18,0
Bottineau,105,5
Bowman,49,0
Burke,37,1
Burleigh,4036,53
Cass,5678,78
Cavalier,56,0
Dickey,134,0
Divide,9,1
Dunn,129,3
Eddy,104,3
Emmons,209,2
Foster,74,1
Golden Valley,67,0
Grand Forks,2385,13
Grant,37,1
Griggs,61,1
Hettinger,71,0
Kidder,59,0
LaMoure,89,0
Logan,79,0
McHenry,96,2
McIntosh,83,3
McKenzie,275,2
McLean,324,4
Mercer,187,1
Morton,1429,36
Mountrail,288,2
Nelson,90,0
Oliver,25,0
Pembina,113,0
Pierce,36,0
Ramsey,276,2
Ransom,86,0
Renville,72,1
Richland,260,2
Rolette,223,5
Sargent,85,1
Sheridan,15,0
Sioux,169,3
Slope,11,0
Stark,1825,17
Steele,30,0
Stutsman,543,4
Towner,24,0
Traill,141,0
Unknown,0,0
Walsh,229,1
Ward,1235,11
Wells,42,0
Williams,1202,8
Total,23550,274
