county_resident,Positive,DEATHS,HOSPITALIZATION,case_rate
Appling,108,10,17,581.87
Atkinson,20,2,5,240.1
Bacon,59,2,5,517.36
Baker,33,2,11,1059.05
Baldwin,285,12,57,641.49
Banks,43,0,10,215.19
Barrow,258,8,63,298.67
Bartow,384,35,128,346.66
Ben Hill,45,1,6,270.35
Berrien,20,0,1,103.76
Bibb,392,15,112,257.64
Bleckley,33,0,1,257.05
Brantley,37,2,4,192.69
Brooks,63,9,7,400.58
Bryan,61,4,18,155.86
Bulloch,45,2,9,56.63
Burke,112,3,26,501.3
Butts,197,17,21,782.55
Calhoun,124,7,17,1962.96
Camden,47,1,6,87.16
Candler,10,0,2,92.28
Carroll,409,20,97,340.5
Catoosa,72,0,7,104.7
Charlton,26,1,6,196.21
Chatham,356,14,92,121.84
Chattahoochee,19,0,6,176.76
Chattooga,15,2,3,60.57
Cherokee,699,24,117,262.17
Clarke,195,13,35,150.26
Clay,29,3,5,1015.76
Clayton,1002,38,159,328.7
Clinch,41,1,4,615.99
Cobb,2397,132,566,303.19
Coffee,192,11,56,446.08
Colquitt,246,11,22,541.93
Columbia,205,6,31,129.23
Cook,32,2,7,183.52
Coweta,284,4,47,186.84
Crawford,19,0,4,155.38
Crisp,193,7,36,865.9
Dade,20,1,3,123.75
Dawson,84,1,13,310.87
DeKalb,2775,80,528,349.87
Decatur,116,3,12,440.7
Dodge,38,2,7,186.41
Dooly,156,12,34,1164.18
Dougherty,1662,134,365,1848.62
Douglas,436,15,110,287.02
Early,233,28,18,2296.47
Echols,15,0,0,377.93
Effingham,38,1,11,59.35
Elbert,46,0,5,242.81
Emanuel,26,1,6,114.72
Evans,4,0,0,37.43
Fannin,36,1,5,136.78
Fayette,206,11,35,175.25
Floyd,181,13,43,181.15
Forsyth,398,11,57,157.62
Franklin,31,1,6,132.88
Fulton,3723,164,706,338.71
Gilmer,107,0,15,340.58
Glascock,1,0,0,33.06
Glynn,77,1,10,89.49
Gordon,127,15,30,218.78
Grady,90,4,25,366.75
Greene,57,6,18,304.54
Gwinnett,2592,101,507,266.9
Habersham,415,16,63,906.11
Hall,2147,40,285,1040.47
Hancock,149,4,24,1818.63
Haralson,34,2,9,110.67
Harris,75,3,14,216.06
Hart,19,0,0,72.78
Heard,17,1,5,137.43
Henry,629,18,82,262.23
Houston,314,16,86,199.95
Irwin,22,1,3,233.22
Jackson,127,3,24,170.01
Jasper,26,0,4,183.11
Jeff Davis,24,1,4,158.44
Jefferson,22,1,4,143.67
Jenkins,16,1,4,186.57
Johnson,71,2,12,734.91
Jones,31,0,4,108.43
Lamar,41,1,6,211.92
Lanier,12,2,5,115.93
Laurens,89,1,16,188.18
Lee,344,23,61,1147.78
Liberty,45,0,11,72.69
Lincoln,12,0,5,147.69
Long,6,0,2,30.13
Lowndes,202,4,36,171.36
Lumpkin,82,1,16,242.59
Macon,90,5,32,692.95
Madison,29,1,5,96.1
Marion,39,1,8,470.28
McDuffie,55,4,17,254.66
McIntosh,9,0,2,61.78
Meriwether,72,1,11,342.53
Miller,38,0,2,659.26
Mitchell,388,32,78,1759.16
Monroe,94,5,9,339.02
Montgomery,8,0,1,86.73
Morgan,33,0,4,172.43
Murray,59,1,8,146.54
Muscogee,424,15,83,221.26
Newton,261,10,54,232.3
Non-Georgia Resident,1558,25,93,0
Oconee,80,2,12,191.68
Oglethorpe,55,4,10,360.89
Paulding,241,10,58,139.68
Peach,70,2,17,255.71
Pickens,35,3,10,104.38
Pierce,70,4,17,358.15
Pike,44,2,8,233.3
Polk,79,0,11,181.68
Pulaski,36,1,6,330.49
Putnam,62,7,13,283.3
Quitman,8,1,4,348.74
Rabun,14,1,5,82.42
Randolph,169,21,30,2502.22
Richmond,490,17,136,242.29
Rockdale,249,7,62,262.22
Schley,16,1,7,303.32
Screven,19,1,10,136.69
Seminole,40,2,8,491.4
Spalding,239,15,41,345.83
Stephens,98,1,22,372.23
Stewart,37,0,12,603.69
Sumter,415,38,116,1411.61
Talbot,28,1,11,454.69
Taliaferro,1,0,0,61.27
Tattnall,11,0,2,43.29
Taylor,22,2,8,276.45
Telfair,29,1,4,185.37
Terrell,199,24,43,2350.3
Thomas,281,29,57,632.44
Tift,176,11,43,431.06
Toombs,44,4,9,163.07
Towns,21,1,7,174.51
Treutlen,8,0,0,117.15
Troup,199,6,54,282.61
Turner,81,12,15,1002.97
Twiggs,9,0,3,111.3
Union,36,1,10,142.1
Unknown,1826,0,37,0
Upson,258,29,31,981.85
Walker,74,0,1,106.31
Walton,158,8,27,164.9
Ware,170,12,42,474.16
Warren,16,0,8,307.1
Washington,63,1,6,310.31
Wayne,14,0,2,46.71
Webster,11,1,4,431.37
Wheeler,7,0,0,88.51
White,89,2,19,280.24
Whitfield,179,6,19,171.01
Wilcox,95,12,15,1080.77
Wilkes,28,1,6,279.61
Wilkinson,43,3,14,482.12
Worth,195,17,36,968.13
