County,Cases,Deaths
Adams,625,7
Asotin,52,2
Benton,4153,122
Chelan,1728,12
Clallam,209,1
Clark,2173,54
Columbia,13,1
Cowlitz,539,6
Douglas,1152,8
Ferry,25,0
Franklin,3930,57
Garfield,4,0
Grant,2267,15
Grays Harbor,236,6
Island,270,11
Jefferson,69,0
King,19553,723
Kitsap,988,9
Kittitas,451,21
Klickitat,175,3
Lewis,338,4
Lincoln,31,1
Mason,313,1
Okanogan,996,7
Pacific,60,3
Pend Oreille,53,0
Pierce,6756,166
San Juan,29,0
Skagit,1017,22
Skamania,58,1
Snohomish,6178,209
Spokane,5286,131
Stevens,125,1
Thurston,923,13
Wahkiakum,6,0
Walla Walla,757,6
Whatcom,1088,39
Whitman,471,0
Yakima,10942,239
Unassigned,281,4
Total,74320,1905
