County,Cases,Deaths
0,0,0
Anderson,2859,36
Andrews,457,10
Angelina,2189,83
Aransas,335,18
Archer,88,1
Armstrong,13,1
Atascosa,1245,32
Austin,502,9
Bailey,228,5
Bandera,177,8
Bastrop,1865,30
Baylor,20,1
Bee,1823,36
Bell,5623,89
Bexar,48110,1332
Blanco,145,5
Borden,1,0
Bosque,351,6
Bowie,1457,55
Brazoria,11575,171
Brazos,6659,64
Brewster,220,4
Briscoe,15,1
Brooks,329,22
Brown,592,25
Burleson,354,6
Burnet,771,12
Caldwell,1629,35
Calhoun,851,8
Callahan,98,3
Cameron,22946,930
Camp,363,11
Carson,31,0
Cass,389,16
Castro,263,5
Chambers,1377,8
Cherokee,1571,30
Childress,75,0
Clay,81,2
Cochran,59,1
Coke,53,3
Coleman,80,4
Collin,15610,152
Collingsworth,19,0
Colorado,490,4
Comal,2757,103
Comanche,310,4
Concho,136,2
Cooke,461,7
Coryell,1839,12
Cottle,30,3
Crane,72,2
Crockett,164,7
Crosby,89,3
Culberson,55,2
Dallam,261,9
Dallas,83795,1149
Dawson,503,10
DeWitt,996,41
Deaf Smith,906,22
Delta,29,0
Denton,12425,157
Dickens,50,2
Dimmit,259,7
Donley,66,1
Duval,459,17
Eastland,191,4
Ector,3192,87
Edwards,68,2
El Paso,25793,536
Ellis,4482,68
Erath,892,13
Falls,436,5
Fannin,701,15
Fayette,495,21
Fisher,68,3
Floyd,112,9
Foard,18,0
Fort Bend,16603,294
Franklin,147,6
Freestone,417,3
Frio,993,9
Gaines,379,9
Galveston,11788,164
Garza,105,4
Gillespie,336,10
Glasscock,9,0
Goliad,156,6
Gonzales,1071,18
Gray,332,7
Grayson,1964,47
Gregg,2299,74
Grimes,1093,33
Guadalupe,3743,78
Hale,1940,56
Hall,35,1
Hamilton,154,4
Hansford,145,5
Hardeman,25,0
Hardin,1358,32
Harris,147808,2628
Harrison,928,32
Hartley,141,0
Haskell,71,3
Hays,5951,66
Hemphill,83,0
Henderson,1022,23
Hidalgo,32406,1558
Hill,710,14
Hockley,373,9
Hood,1002,29
Hopkins,395,13
Houston,385,11
Howard,918,16
Hudspeth,62,3
Hunt,1705,38
Hutchinson,233,6
Irion,12,0
Jack,140,3
Jackson,633,16
Jasper,489,30
Jeff Davis,14,0
Jefferson,7585,136
Jim Hogg,113,3
Jim Wells,1535,39
Johnson,3169,53
Jones,568,0
Karnes,948,17
Kaufman,3202,49
Kendall,377,8
Kenedy,7,2
Kent,9,0
Kerr,623,11
Kimble,17,1
King,0,0
Kinney,59,1
Kleberg,1021,46
Knox,103,8
La Salle,349,11
Lamar,1261,38
Lamb,346,23
Lampasas,264,9
Lavaca,1040,35
Lee,230,14
Leon,257,6
Liberty,2261,51
Limestone,591,15
Lipscomb,36,1
Live Oak,374,9
Llano,138,2
Loving,0,0
Lubbock,12640,131
Lynn,110,5
Madison,728,6
Marion,153,14
Martin,78,6
Mason,79,2
Matagorda,1057,48
Maverick,3712,127
McCulloch,168,4
McLennan,8411,110
McMullen,24,1
Medina,1227,47
Menard,29,0
Midland,3943,66
Milam,511,6
Mills,61,0
Mitchell,98,1
Montague,190,4
Montgomery,11032,162
Moore,1185,22
Morris,191,3
Motley,10,0
Nacogdoches,1648,64
Navarro,1317,27
Newton,188,13
Nolan,273,5
Nueces,16014,387
Ochiltree,144,5
Oldham,19,1
Orange,2005,44
Palo Pinto,594,16
Panola,398,26
Parker,2040,37
Parmer,443,8
Pecos,392,5
Polk,873,25
Potter,6127,65
Presidio,97,7
Rains,75,4
Randall,3193,45
Reagan,89,6
Real,120,8
Red River,167,14
Reeves,212,6
Refugio,310,14
Roberts,12,0
Robertson,328,3
Rockwall,1680,28
Runnels,279,8
Rusk,964,12
Sabine,82,8
San Augustine,207,15
San Jacinto,228,9
San Patricio,1501,77
San Saba,69,0
Schleicher,53,2
Scurry,774,6
Shackelford,28,0
Shelby,485,27
Sherman,66,1
Smith,3899,110
Somervell,148,5
Starr,3452,171
Stephens,138,4
Sterling,5,0
Stonewall,16,1
Sutton,84,3
Swisher,107,3
Tarrant,48275,734
Taylor,1537,58
Terrell,3,0
Terry,286,4
Throckmorton,8,2
Titus,1487,29
Tom Green,2332,69
Travis,29799,424
Trinity,198,7
Tyler,229,4
Upshur,402,10
Upton,25,2
Uvalde,803,34
Val Verde,2232,113
Van Zandt,599,20
Victoria,4100,96
Walker,3769,57
Waller,914,14
Ward,137,1
Washington,646,48
Webb,14145,284
Wharton,1391,53
Wheeler,50,0
Wichita,1930,25
Wilbarger,212,2
Willacy,1211,53
Williamson,8706,144
Wilson,967,28
Winkler,120,4
Wise,784,14
Wood,544,26
Yoakum,258,5
Young,346,6
Zapata,335,6
Zavala,389,16
Unknown,0,8
Total,769303,16033
