County,Cases,Deaths
Anderson,10,0
Andrews,19,0
Angelina,27,0
Aransas,2,0
Armstrong,1,0
Atascosa,14,1
Austin,12,0
Bandera,4,0
Bastrop,49,1
Bee,5,0
Bell,135,3
Bexar,1029,39
Blanco,4,0
Bosque,3,0
Bowie,64,1
Brazoria,333,3
Brazos,170,16
Brown,13,1
Burleson,9,0
Burnet,13,0
Caldwell,9,0
Calhoun,21,1
Callahan,1,0
Cameron,310,7
Camp,6,0
Carson,1,0
Cass,10,0
Castro,11,1
Chambers,35,0
Cherokee,8,1
Childress,1,0
Clay,3,0
Collin,544,13
Colorado,9,0
Comal,43,6
Comanche,3,0
Concho,1,0
Cooke,4,0
Coryell,84,1
Crane,2,0
Crosby,1,1
Dallam,2,0
Dallas,2512,60
Dawson,14,1
Deaf Smith,14,0
Delta,1,0
Denton,598,17
DeWitt,14,1
Dickens,1,0
Dimmit,1,0
Donley,24,0
Duval,1,0
Eastland,3,0
Ector,60,4
El Paso,540,9
Ellis,100,4
Erath,12,1
Falls,1,0
Fannin,9,0
Fayette,14,0
Floyd,2,0
Fort Bend,799,18
Franklin,1,0
Freestone,3,0
Frio,1,0
Gaines,2,0
Galveston,468,19
Gillespie,1,0
Goliad,6,0
Gonzales,2,0
Gray,20,0
Grayson,19,0
Gregg,52,0
Grimes,10,1
Guadalupe,60,0
Hale,15,2
Hamilton,5,0
Hansford,1,0
Hardin,85,2
Harris,4977,78
Harrison,58,1
Hartley,1,0
Hays,109,1
Hemphill,1,0
Henderson,15,0
Hidalgo,268,3
Hill,11,1
Hockley,16,1
Hood,15,2
Hopkins,4,0
Houston,1,0
Howard,1,1
Hunt,35,2
Hutchinson,8,0
Jack,4,0
Jackson,6,0
Jasper,10,0
Jefferson,196,10
Jim Wells,2,0
Johnson,44,1
Jones,3,0
Karnes,3,0
Kaufman,48,0
Kendall,14,0
Kerr,4,0
Kleberg,6,1
Knox,1,0
La Salle,1,0
Lamar,7,0
Lamb,2,0
Lampasas,2,0
Lavaca,4,0
Lee,2,0
Leon,5,0
Liberty,33,0
Limestone,11,1
Live Oak,3,0
Llano,3,0
Lubbock,445,36
Lynn,5,0
Madison,2,0
Marion,6,0
Martin,2,0
Mason,1,0
Matagorda,56,3
Maverick,15,0
McCulloch,3,0
McLennan,77,4
Medina,15,2
Midland,64,3
Milam,12,0
Mitchell,1,0
Montague,6,1
Montgomery,393,7
Moore,139,2
Morris,5,0
Motley,1,0
Nacogdoches,96,6
Navarro,23,2
Newton,2,0
Nueces,90,1
Oldham,3,1
Orange,58,0
Palo Pinto,7,1
Panola,42,1
Parker,21,0
Parmer,2,0
Pecos,5,0
Polk,15,0
Potter,160,4
Rains,2,0
Randall,115,3
Red River,1,0
Roberts,2,0
Robertson,2,0
Rockwall,40,0
Rusk,27,1
Sabine,1,0
San Augustine,14,1
San Jacinto,8,0
San Patricio,8,0
Scurry,2,0
Shelby,69,0
Sherman,7,0
Smith,123,1
Starr,7,0
Stephens,1,0
Swisher,5,0
Tarrant,1249,39
Taylor,144,3
Terry,10,0
Titus,11,0
Tom Green,41,1
Travis,1174,26
Trinity,7,0
Tyler,6,0
Upshur,9,0
Uvalde,6,0
Val Verde,12,0
Van Zandt,12,1
Victoria,95,1
Walker,95,0
Waller,24,0
Washington,67,6
Webb,281,11
Wharton,36,0
Wichita,60,2
Wilbarger,1,0
Willacy,9,1
Williamson,156,4
Wilson,22,1
Winkler,3,0
Wise,12,2
Wood,6,0
Yoakum,1,0
Young,4,1
Zapata,6,0
Zavala,1,0
Total,20196,517
