County,Cases,Deaths
Albany,0,0
Albany,2029,0
Allegany,55,0
Bronx,46778,0
Broome,657,0
Cattaraugus,109,0
Cayuga,106,0
Chautauqua,108,0
Chemung,138,0
Chenango,139,0
Clinton,99,0
Columbia,442,0
Cortland,42,0
Delaware,89,0
Dutchess,4077,0
Erie,6882,0
Essex,40,0
Franklin,25,0
Fulton,236,0
Genesee,216,0
Greene,252,0
Hamilton,6,0
Herkimer,128,0
Jefferson,82,0
Kings,58386,0
Lewis,21,0
Livingston,123,0
Madison,338,0
Monroe,3418,0
Montgomery,104,0
Nassau,41320,0
New York,27708,0
Niagara,1177,0
Oneida,1307,0
Onondaga,2558,0
Ontario,234,0
Orange,10599,0
Orleans,270,0
Oswego,139,0
Otsego,82,0
Putnam,1294,0
Queens,64176,0
Rensselaer,515,0
Richmond,13893,0
Rockland,13467,0
Saratoga,523,0
Schenectady,737,0
Schoharie,55,0
Schuyler,12,0
Seneca,64,0
St. Lawrence,215,0
Steuben,257,0
Suffolk,40770,0
Sullivan,1433,0
Tioga,140,0
Tompkins,173,0
Ulster,1744,0
Warren,257,0
Washington,243,0
Wayne,137,0
Westchester,34385,0
Wyoming,93,0
Yates,40,0
Total,385142,0
