OBJECTID,CNTY,CNTYNAME,map_county,Label,CNTYGEOID,Pop2018ACS,C_Total,D_Total,C_New,C_10k,date,Shape_STArea__,Shape_STLength__,OBJECTID_1,SHAPE__Area,SHAPE__Length
535,19,ORLEANS,Orleans County,Orleans County,50019,26911,14,0,1,5.203107,2020/06/18 04:00:00+00,,,1,3718834479.34375,295593.472508704
532,13,GRAND ISLE,Grand Isle County,Grand Isle County,50013,6965,8,0,0,11.28349788,2020/06/18 04:00:00+00,,,2,994742546.710938,183916.419338522
529,7,CHITTENDEN,Chittenden County,Chittenden County,50007,162052,579,39,5,35.18216951,2020/06/18 04:00:00+00,,,3,3159550132.08984,282739.064313506
540,27,WINDSOR,Windsor County,Windsor County,50027,55427,55,2,0,9.948269,2020/06/18 04:00:00+00,,,4,4822870629.84375,430506.510047151
539,25,WINDHAM,Windham County,Windham County,50025,43150,85,3,0,19.88025073,2020/06/18 04:00:00+00,,,5,3867349311.98828,307420.079076111
527,3,BENNINGTON,Bennington County,Bennington County,50003,35920,69,1,1,19.36515955,2020/06/18 04:00:00+00,,,6,3283375284.75781,295063.574773492
531,11,FRANKLIN,Franklin County,Franklin County,50011,49025,102,6,0,20.63899962,2020/06/18 04:00:00+00,,,7,3552233834.72656,265891.718600647
530,9,ESSEX,Essex County,Essex County,50009,6208,3,0,0,4.8,2020/06/18 04:00:00+00,,,8,3449218534.40625,388299.737639156
533,15,LAMOILLE,Lamoille County,Lamoille County,50015,25268,30,1,1,11.85770751,2020/06/18 04:00:00+00,,,9,2382508472.09766,233466.421530464
528,5,CALEDONIA,Caledonia County,Caledonia County,50005,30425,16,0,0,5.28017953,2020/06/18 04:00:00+00,,,10,3345160777.29688,357624.693515919
534,17,ORANGE,Orange County,Orange County,50017,28937,9,0,0,3.1035553,2020/06/18 04:00:00+00,,,11,3462403460.88672,290091.271208173
538,23,WASHINGTON,Washington County,Washington County,50023,58477,41,1,0,7.05194358,2020/06/18 04:00:00+00,,,12,3512850087.25781,297608.259426324
537,21,RUTLAND,Rutland County,Rutland County,50021,59273,61,1,1,10.39678211,2020/06/18 04:00:00+00,,,13,4665818904.90625,370512.703865356
526,1,ADDISON,Addison County,Addison County,50001,36939,67,2,0,18.12133178,2020/06/18 04:00:00+00,,,14,4047773398.10156,316780.537680642
536,0,PENDING,Pending Validation,Pending Validation,99999,0,5,0,0,0,2020/06/18 04:00:00+00,,,15,,
