County,Cases,Deaths
Franklin,745,8
Montgomery,161,2
Cuyahoga,864,13
Hamilton,401,8
Medina,89,1
Carroll,9,0
Scioto,3,0
Stark,103,5
Tuscarawas,27,0
Lorain,130,2
Summit,204,8
Huron,8,1
Butler,95,1
Mahoning,333,16
Highland,5,0
Licking,68,1
Seneca,9,1
Union,8,0
Clark,14,0
Columbiana,67,5
Defiance,11,0
Delaware,85,1
Miami,100,10
Muskingum,8,0
Richland,22,0
Sandusky,8,0
Trumbull,131,6
Warren,55,0
Auglaize,10,0
Champaign,6,0
Coshocton,14,0
Geauga,44,0
Pike,1,0
Shelby,17,0
Wood,39,0
Athens,3,1
Belmont,25,0
Darke,36,3
Fairfield,65,0
Gallia,4,1
Greene,22,1
Lake,101,3
Lucas,321,6
Marion,27,0
Wyandot,7,0
Clermont,33,1
Logan,7,0
Preble,10,0
Wayne,36,0
Erie,10,1
Fayette,3,0
Hancock,15,0
Jefferson,15,0
Portage,94,4
Allen,25,0
Ashland,4,0
Ashtabula,14,0
Crawford,11,0
Fulton,5,0
Mercer,11,0
Clinton,13,0
Hardin,2,0
Knox,8,1
Madison,19,2
Pickaway,23,0
Washington,13,0
Adams,3,0
Morrow,7,0
Lawrence,13,0
Monroe,2,0
Perry,7,0
Ross,10,0
Holmes,2,0
Van Wert,2,0
Williams,3,0
Brown,4,1
Ottawa,5,0
Paulding,3,0
Guernsey,4,0
Meigs,1,0
Jackson,2,0
Morgan,1,0
Total,4945,114
