County,Cases,Deaths
Adams,5,0
Allen,133,23
Ashland,8,0
Ashtabula,142,15
Athens,4,1
Auglaize,37,3
Belmont,155,7
Brown,13,1
Butler,335,8
Carroll,22,1
Champaign,16,1
Clark,67,2
Clermont,110,3
Clinton,31,0
Columbiana,288,27
Coshocton,17,0
Crawford,54,0
Cuyahoga,2276,122
Darke,78,14
Defiance,21,1
Delaware,175,4
Erie,65,3
Fairfield,149,2
Fayette,22,0
Franklin,2906,88
Fulton,27,0
Gallia,6,1
Geauga,165,17
Greene,50,5
Guernsey,19,0
Hamilton,1419,84
Hancock,39,1
Hardin,26,0
Harrison,5,0
Henry,5,0
Highland,11,0
Hocking,19,1
Holmes,6,1
Huron,36,1
Jackson,6,0
Jefferson,44,1
Knox,18,1
Lake,175,7
Lawrence,24,0
Licking,131,6
Logan,20,0
Lorain,499,37
Lucas,1474,134
Madison,67,3
Mahoning,982,102
Marion,2327,9
Medina,180,15
Meigs,3,0
Mercer,46,1
Miami,145,27
Monroe,4,0
Montgomery,325,10
Morgan,4,0
Morrow,52,1
Muskingum,18,0
Noble,5,0
Ottawa,42,0
Paulding,8,0
Perry,12,0
Pickaway,1727,23
Pike,4,0
Portage,257,42
Preble,27,1
Putnam,70,8
Richland,89,2
Ross,43,1
Sandusky,40,5
Scioto,12,0
Seneca,14,1
Shelby,30,1
Stark,398,54
Summit,737,65
Trumbull,356,33
Tuscarawas,123,0
Union,26,0
Van Wert,3,0
Vinton,8,0
Warren,173,11
Washington,103,12
Wayne,169,31
Williams,41,1
Wood,197,22
Wyandot,24,2
Total,20244,1106
