County,Cases,Deaths
Adams,8,0
Allen,163,30
Ashland,15,0
Ashtabula,216,24
Athens,7,1
Auglaize,52,3
Belmont,280,7
Brown,21,1
Butler,546,16
Carroll,25,2
Champaign,23,1
Clark,129,3
Clermont,143,3
Clinton,38,0
Columbiana,394,40
Coshocton,19,0
Crawford,91,2
Cuyahoga,3045,169
Darke,111,16
Defiance,25,1
Delaware,238,5
Erie,90,3
Fairfield,194,3
Fayette,30,0
Franklin,4220,157
Fulton,34,0
Gallia,7,1
Geauga,204,23
Greene,72,5
Guernsey,22,0
Hamilton,1927,106
Hancock,41,1
Hardin,30,0
Harrison,8,0
Henry,10,0
Highland,14,1
Hocking,31,1
Holmes,11,1
Huron,40,1
Jackson,11,0
Jefferson,59,2
Knox,21,1
Lake,215,8
Lawrence,27,0
Licking,176,7
Logan,23,0
Lorain,580,55
Lucas,1905,195
Madison,93,5
Mahoning,1181,144
Marion,2422,15
Medina,209,17
Meigs,3,0
Mercer,115,1
Miami,325,29
Monroe,24,0
Montgomery,484,11
Morgan,5,0
Morrow,94,1
Muskingum,32,0
Noble,5,0
Ottawa,57,3
Paulding,11,0
Perry,15,1
Pickaway,1988,25
Pike,5,0
Portage,286,51
Preble,29,1
Putnam,80,13
Richland,146,2
Ross,57,1
Sandusky,55,8
Scioto,13,0
Seneca,15,1
Shelby,34,1
Stark,546,73
Summit,972,108
Trumbull,442,37
Tuscarawas,248,1
Union,32,0
Van Wert,4,0
Vinton,16,0
Warren,265,13
Washington,115,17
Wayne,199,48
Williams,46,1
Wood,235,38
Wyandot,27,2
Total,26521,1563
