County,Cases,Deaths
Adams,4,0
Allen,143,13
Ashland,7,0
Ashtabula,104,5
Athens,3,1
Auglaize,38,3
Belmont,97,7
Brown,11,1
Butler,263,5
Carroll,27,2
Champaign,19,1
Clark,48,1
Clermont,95,3
Clinton,27,0
Columbiana,246,19
Coshocton,19,0
Crawford,46,0
Cuyahoga,1977,87
Darke,76,11
Defiance,18,1
Delaware,178,4
Erie,76,3
Fairfield,135,2
Fayette,14,0
Franklin,1934,54
Fulton,20,0
Gallia,8,1
Geauga,134,10
Greene,79,5
Guernsey,16,0
Hamilton,1074,59
Hancock,35,1
Hardin,21,0
Harrison,4,0
Henry,6,0
Highland,9,0
Hocking,11,1
Holmes,6,1
Huron,34,1
Jackson,6,0
Jefferson,39,1
Knox,16,1
Lake,178,7
Lawrence,22,0
Licking,119,5
Logan,24,0
Lorain,426,23
Lucas,1343,93
Madison,51,4
Mahoning,788,80
Marion,2183,3
Medina,189,11
Meigs,2,0
Mercer,22,1
Miami,161,27
Monroe,3,0
Montgomery,367,10
Morgan,5,0
Morrow,27,0
Muskingum,11,0
Noble,6,0
Ottawa,42,0
Paulding,11,0
Perry,13,0
Pickaway,1698,9
Pike,2,0
Portage,231,37
Preble,28,1
Putnam,59,3
Richland,85,2
Ross,39,1
Sandusky,24,2
Scioto,6,0
Seneca,17,1
Shelby,30,0
Stark,346,38
Summit,599,42
Trumbull,328,24
Tuscarawas,58,0
Union,29,0
Van Wert,3,0
Vinton,2,0
Warren,196,10
Washington,82,9
Wayne,122,19
Williams,32,1
Wood,162,14
Wyandot,31,2
Total,17325,783
