County,Cases,Deaths
Adams,4,0
Allen,91,12
Ashland,5,0
Ashtabula,70,4
Athens,3,1
Auglaize,28,3
Belmont,78,4
Brown,10,1
Butler,191,4
Carroll,18,0
Champaign,8,1
Clark,29,1
Clermont,77,2
Clinton,26,0
Columbiana,207,15
Coshocton,16,0
Crawford,35,0
Cuyahoga,1682,66
Darke,63,10
Defiance,15,0
Delaware,133,3
Erie,40,1
Fairfield,107,2
Fayette,13,0
Franklin,1572,42
Fulton,16,0
Gallia,6,1
Geauga,112,7
Greene,41,2
Guernsey,14,0
Hamilton,807,46
Hancock,31,1
Hardin,18,0
Harrison,2,0
Henry,4,0
Highland,7,0
Hocking,8,0
Holmes,5,0
Huron,24,1
Jackson,4,0
Jefferson,31,0
Knox,13,1
Lake,149,7
Lawrence,21,0
Licking,105,4
Logan,13,0
Lorain,338,17
Lucas,942,62
Madison,37,3
Mahoning,649,60
Marion,2146,1
Medina,145,11
Meigs,2,0
Mercer,16,1
Miami,133,23
Monroe,2,0
Montgomery,257,10
Morgan,3,0
Morrow,26,0
Muskingum,9,0
Noble,4,0
Ottawa,33,0
Paulding,8,0
Perry,10,0
Pickaway,1535,4
Pike,2,0
Portage,193,33
Preble,26,1
Putnam,43,0
Richland,69,2
Ross,31,0
Sandusky,20,2
Scioto,6,0
Seneca,12,1
Shelby,28,0
Stark,278,27
Summit,419,29
Trumbull,274,19
Tuscarawas,44,0
Union,18,0
Van Wert,3,0
Warren,110,6
Washington,69,8
Wayne,99,13
Williams,28,1
Wood,96,9
Wyandot,22,2
Total,14137,587
