County,Cases,Deaths
Dade,167153,3055
Citrus,2646,86
Broward,75801,1322
Suwannee,2615,65
Palm Beach,45425,1277
Sumter,2164,65
Hillsborough,40898,604
Highlands,2081,81
Orange,39056,431
Putnam,2060,38
Duval,29449,353
Hendry,2046,42
Pinellas,21561,728
Nassau,2031,37
Lee,20025,458
Walton,1877,22
Polk,19243,507
Monroe,1808,22
Collier,12487,202
Flagler,1662,23
Osceola,12139,137
Unknown,1600,0
Escambia,12043,217
Desoto,1549,23
Manatee,11241,277
Okeechobee,1464,23
Volusia,10537,220
Baker,1412,11
Leon,9990,57
Hardee,1299,10
Marion,9453,260
Taylor,1291,12
Pasco,8893,205
Lafayette,1230,12
Seminole,8860,200
Wakulla,1098,9
Brevard,8429,277
Washington,1059,18
Sarasota,7903,247
Bradford,1033,7
St. Lucie,7822,265
Levy,1006,9
Alachua,7581,46
Madison,1005,18
Lake,7313,169
Union,885,12
Bay,5878,94
Gulf,866,14
Santa Rosa,5219,71
Hamilton,830,8
St. Johns,5112,67
Dixie,826,6
Clay,4831,91
Holmes,727,5
Martin,4759,132
Calhoun,607,10
Okaloosa,4750,102
Franklin,596,3
Columbia,3649,50
Jefferson,546,8
Indian River,3099,110
Glades,502,4
Hernando,3031,113
Gilchrist,501,12
Charlotte,2957,131
Liberty,491,7
Jackson,2727,76
Gadsden,2712,44
Total,685439,13317
