OBJECTID,CNTY,CNTYNAME,map_county,Label,CNTYGEOID,Pop2018ACS,C_Total,D_Total,C_New,C_10k,date,Shape_STArea__,Shape_STLength__,OBJECTID_1,SHAPE__Area,SHAPE__Length,T_Total,PercentPop_T
1045,19,ORLEANS,Orleans County,Orleans County,50019,26911,14,0,0,5.203107,2020/07/19 04:00:00+00,,,1,3718834479.34375,295593.472508701,2729,10.14
1042,13,GRAND ISLE,Grand Isle County,Grand Isle County,50013,6965,13,0,0,18.33568406,2020/07/19 04:00:00+00,,,2,994742546.714844,183916.419338521,934,13.41
1039,7,CHITTENDEN,Chittenden County,Chittenden County,50007,162052,688,39,6,41.8054104,2020/07/19 04:00:00+00,,,3,3159550132.08594,282739.064313507,24454,15.09
1050,27,WINDSOR,Windsor County,Windsor County,50027,55427,67,2,2,12.11880042,2020/07/19 04:00:00+00,,,4,4822870629.82422,430506.510047154,5071,9.15
1049,25,WINDHAM,Windham County,Windham County,50025,43150,100,3,0,23.38853026,2020/07/19 04:00:00+00,,,5,3867349312.01563,307420.079076111,4534,10.51
1037,3,BENNINGTON,Bennington County,Bennington County,50003,35920,79,1,0,22.17170441,2020/07/19 04:00:00+00,,,6,3283375284.75391,295063.57477349,3250,9.05
1041,11,FRANKLIN,Franklin County,Franklin County,50011,49025,110,6,0,22.25774468,2020/07/19 04:00:00+00,,,7,3552233834.72266,265891.718600648,4873,9.94
1040,9,ESSEX,Essex County,Essex County,50009,6208,5,0,0,8,2020/07/19 04:00:00+00,,,8,3449218534.42578,388299.737639158,426,6.86
1043,15,LAMOILLE,Lamoille County,Lamoille County,50015,25268,42,1,0,16.60079051,2020/07/19 04:00:00+00,,,9,2382508472.09375,233466.421530466,2743,10.86
1038,5,CALEDONIA,Caledonia County,Caledonia County,50005,30425,25,0,1,8.25028051,2020/07/19 04:00:00+00,,,10,3345160777.32031,357624.693515915,2887,9.49
1044,17,ORANGE,Orange County,Orange County,50017,28937,11,0,0,3.79323425,2020/07/19 04:00:00+00,,,11,3462403460.89063,290091.271208177,2349,8.12
1048,23,WASHINGTON,Washington County,Washington County,50023,58477,45,1,0,7.73993808,2020/07/19 04:00:00+00,,,12,3512850087.26563,297608.259426323,5961,10.19
1047,21,RUTLAND,Rutland County,Rutland County,50021,59273,80,1,0,13.63512408,2020/07/19 04:00:00+00,,,13,4665818904.91797,370512.703865359,5924,9.99
1036,1,ADDISON,Addison County,Addison County,50001,36939,71,2,1,19.20320234,2020/07/19 04:00:00+00,,,14,4047773398.11719,316780.537680639,4257,11.52
1046,0,PENDING,Pending Validation,Pending Validation,99999,,10,0,0,0,2020/07/19 04:00:00+00,,,15,,,13476,
