OBJECTID,CNTY,CNTYNAME,map_county,Label,CNTYGEOID,Pop2018ACS,C_Total,D_Total,C_New,C_10k,date,Shape_STArea__,Shape_STLength__,OBJECTID_1,SHAPE__Area,SHAPE__Length,T_Total,PercentPop_T
1495,19,ORLEANS,Orleans County,Orleans County,50019,26911,14,0,0,5.203107,2020/08/12 04:00:00+00,,,1,3718834479.34375,295593.472508701,3480,12.93
1492,13,GRAND ISLE,Grand Isle County,Grand Isle County,50013,6965,13,0,0,18.33568406,2020/08/12 04:00:00+00,,,2,994742546.714844,183916.419338521,1160,16.65
1489,7,CHITTENDEN,Chittenden County,Chittenden County,50007,162052,738,39,3,44.84359429,2020/08/12 04:00:00+00,,,3,3159550132.08594,282739.064313507,31098,19.19
1500,27,WINDSOR,Windsor County,Windsor County,50027,55427,73,2,0,13.20406613,2020/08/12 04:00:00+00,,,4,4822870629.82422,430506.510047154,7092,12.8
1499,25,WINDHAM,Windham County,Windham County,50025,43150,104,3,0,24.32407148,2020/08/12 04:00:00+00,,,5,3867349312.01563,307420.079076111,6185,14.33
1487,3,BENNINGTON,Bennington County,Bennington County,50003,35920,91,1,1,25.53955825,2020/08/12 04:00:00+00,,,6,3283375284.75391,295063.57477349,5137,14.3
1491,11,FRANKLIN,Franklin County,Franklin County,50011,49025,118,7,0,23.87648975,2020/08/12 04:00:00+00,,,7,3552233834.72266,265891.718600648,6156,12.56
1490,9,ESSEX,Essex County,Essex County,50009,6208,6,0,0,9.6,2020/08/12 04:00:00+00,,,8,3449218534.42578,388299.737639158,565,9.1
1493,15,LAMOILLE,Lamoille County,Lamoille County,50015,25268,43,1,0,16.99604743,2020/08/12 04:00:00+00,,,9,2382508472.09375,233466.421530466,3529,13.97
1488,5,CALEDONIA,Caledonia County,Caledonia County,50005,30425,28,0,0,9.24031417,2020/08/12 04:00:00+00,,,10,3345160777.32031,357624.693515915,3715,12.21
1494,17,ORANGE,Orange County,Orange County,50017,28937,16,0,1,5.51743164,2020/08/12 04:00:00+00,,,11,3462403460.89063,290091.271208177,3180,10.99
1498,23,WASHINGTON,Washington County,Washington County,50023,58477,57,2,0,9.80392157,2020/08/12 04:00:00+00,,,12,3512850087.26563,297608.259426323,7924,13.55
1497,21,RUTLAND,Rutland County,Rutland County,50021,59273,101,1,1,17.21434415,2020/08/12 04:00:00+00,,,13,4665818904.91797,370512.703865359,7789,13.14
1486,1,ADDISON,Addison County,Addison County,50001,36939,74,2,0,20.01460525,2020/08/12 04:00:00+00,,,14,4047773398.11719,316780.537680639,5384,14.58
1496,0,PENDING,Pending Validation,Pending Validation,99999,,8,0,0,0,2020/08/12 04:00:00+00,,,15,,,13513,
