OBJECTID,CNTY,CNTYNAME,map_county,Label,CNTYGEOID,Pop2018ACS,C_Total,D_Total,C_New,C_10k,date,Shape_STArea__,Shape_STLength__,OBJECTID_1,SHAPE__Area,SHAPE__Length,T_Total,PercentPop_T
1390,19,ORLEANS,Orleans County,Orleans County,50019,26911,14,0,0,5.203107,2020/08/06 04:00:00+00,,,1,3718834479.34375,295593.472508701,3232,12.01
1387,13,GRAND ISLE,Grand Isle County,Grand Isle County,50013,6965,13,0,0,18.33568406,2020/08/06 04:00:00+00,,,2,994742546.714844,183916.419338521,1086,15.59
1384,7,CHITTENDEN,Chittenden County,Chittenden County,50007,162052,724,39,1,43.9929028,2020/08/06 04:00:00+00,,,3,3159550132.08594,282739.064313507,29198,18.02
1395,27,WINDSOR,Windsor County,Windsor County,50027,55427,72,2,0,13.02318851,2020/08/06 04:00:00+00,,,4,4822870629.82422,430506.510047154,6723,12.13
1394,25,WINDHAM,Windham County,Windham County,50025,43150,102,3,0,23.85630087,2020/08/06 04:00:00+00,,,5,3867349312.01563,307420.079076111,5894,13.66
1382,3,BENNINGTON,Bennington County,Bennington County,50003,35920,85,1,0,23.85563133,2020/08/06 04:00:00+00,,,6,3283375284.75391,295063.57477349,4837,13.47
1386,11,FRANKLIN,Franklin County,Franklin County,50011,49025,118,7,0,23.87648975,2020/08/06 04:00:00+00,,,7,3552233834.72266,265891.718600648,5795,11.82
1385,9,ESSEX,Essex County,Essex County,50009,6208,4,0,0,6.4,2020/08/06 04:00:00+00,,,8,3449218534.42578,388299.737639158,541,8.71
1388,15,LAMOILLE,Lamoille County,Lamoille County,50015,25268,43,1,0,16.99604743,2020/08/06 04:00:00+00,,,9,2382508472.09375,233466.421530466,3320,13.14
1383,5,CALEDONIA,Caledonia County,Caledonia County,50005,30425,26,0,0,8.58029173,2020/08/06 04:00:00+00,,,10,3345160777.32031,357624.693515915,3517,11.56
1389,17,ORANGE,Orange County,Orange County,50017,28937,14,0,0,4.82775268,2020/08/06 04:00:00+00,,,11,3462403460.89063,290091.271208177,2955,10.21
1393,23,WASHINGTON,Washington County,Washington County,50023,58477,53,2,0,9.11592707,2020/08/06 04:00:00+00,,,12,3512850087.26563,297608.259426323,7328,12.53
1392,21,RUTLAND,Rutland County,Rutland County,50021,59273,99,1,1,16.87346605,2020/08/06 04:00:00+00,,,13,4665818904.91797,370512.703865359,7302,12.32
1381,1,ADDISON,Addison County,Addison County,50001,36939,73,2,0,19.74413761,2020/08/06 04:00:00+00,,,14,4047773398.11719,316780.537680639,5031,13.62
1391,0,PENDING,Pending Validation,Pending Validation,99999,,8,0,0,0,2020/08/06 04:00:00+00,,,15,,,14203,
