OBJECTID,CNTY,CNTYNAME,map_county,Label,CNTYGEOID,Pop2018ACS,C_Total,D_Total,C_New,C_10k,date,Shape_STArea__,Shape_STLength__,OBJECTID_1,SHAPE__Area,SHAPE__Length
835,19,ORLEANS,Orleans County,Orleans County,50019,26911,14,0,0,5.203107,2020/07/08 04:00:00+00,,,1,3718834479.34375,295593.472508704
832,13,GRAND ISLE,Grand Isle County,Grand Isle County,50013,6965,10,0,0,14.10437236,2020/07/08 04:00:00+00,,,2,994742546.710938,183916.419338522
829,7,CHITTENDEN,Chittenden County,Chittenden County,50007,162052,643,39,11,39.07104489,2020/07/08 04:00:00+00,,,3,3159550132.08984,282739.064313506
840,27,WINDSOR,Windsor County,Windsor County,50027,55427,61,2,0,11.03353471,2020/07/08 04:00:00+00,,,4,4822870629.84375,430506.510047151
839,25,WINDHAM,Windham County,Windham County,50025,43150,98,3,1,22.92075966,2020/07/08 04:00:00+00,,,5,3867349311.98828,307420.079076111
827,3,BENNINGTON,Bennington County,Bennington County,50003,35920,74,1,1,20.76843198,2020/07/08 04:00:00+00,,,6,3283375284.75781,295063.574773492
831,11,FRANKLIN,Franklin County,Franklin County,50011,49025,110,6,0,22.25774468,2020/07/08 04:00:00+00,,,7,3552233834.72656,265891.718600647
830,9,ESSEX,Essex County,Essex County,50009,6208,5,0,1,8,2020/07/08 04:00:00+00,,,8,3449218534.40625,388299.737639156
833,15,LAMOILLE,Lamoille County,Lamoille County,50015,25268,36,1,2,14.22924901,2020/07/08 04:00:00+00,,,9,2382508472.09766,233466.421530464
828,5,CALEDONIA,Caledonia County,Caledonia County,50005,30425,21,0,0,6.93023563,2020/07/08 04:00:00+00,,,10,3345160777.29688,357624.693515919
834,17,ORANGE,Orange County,Orange County,50017,28937,10,0,0,3.44839477,2020/07/08 04:00:00+00,,,11,3462403460.88672,290091.271208173
838,23,WASHINGTON,Washington County,Washington County,50023,58477,42,1,0,7.22394221,2020/07/08 04:00:00+00,,,12,3512850087.25781,297608.259426324
837,21,RUTLAND,Rutland County,Rutland County,50021,59273,75,1,0,12.78292882,2020/07/08 04:00:00+00,,,13,4665818904.90625,370512.703865356
826,1,ADDISON,Addison County,Addison County,50001,36939,68,2,0,18.39179942,2020/07/08 04:00:00+00,,,14,4047773398.10156,316780.537680642
836,0,PENDING,Pending Validation,Pending Validation,99999,0,5,0,0,0,2020/07/08 04:00:00+00,,,15,,
