OBJECTID,CNTY,CNTYNAME,map_county,Label,CNTYGEOID,Pop2018ACS,C_Total,D_Total,C_New,C_10k,date,Shape_STArea__,Shape_STLength__,OBJECTID_1,SHAPE__Area,SHAPE__Length,T_Total,PercentPop_T
1255,19,ORLEANS,Orleans County,Orleans County,50019,26911,14,0,0,5.203107,2020/07/28 04:00:00+00,,,1,3718834479.34375,295593.472508704,3063,11.38
1252,13,GRAND ISLE,Grand Isle County,Grand Isle County,50013,6965,13,0,0,18.33568406,2020/07/28 04:00:00+00,,,2,994742546.710938,183916.419338522,1018,14.62
1249,7,CHITTENDEN,Chittenden County,Chittenden County,50007,162052,715,39,0,43.4460297,2020/07/28 04:00:00+00,,,3,3159550132.08984,282739.064313506,27472,16.95
1260,27,WINDSOR,Windsor County,Windsor County,50027,55427,69,2,0,12.48055566,2020/07/28 04:00:00+00,,,4,4822870629.84375,430506.510047151,5832,10.52
1259,25,WINDHAM,Windham County,Windham County,50025,43150,101,3,0,23.62241557,2020/07/28 04:00:00+00,,,5,3867349311.98828,307420.079076111,5332,12.36
1247,3,BENNINGTON,Bennington County,Bennington County,50003,35920,83,1,1,23.29432236,2020/07/28 04:00:00+00,,,6,3283375284.75781,295063.574773492,4569,12.72
1251,11,FRANKLIN,Franklin County,Franklin County,50011,49025,115,6,0,23.26946035,2020/07/28 04:00:00+00,,,7,3552233834.72656,265891.718600647,5453,11.12
1250,9,ESSEX,Essex County,Essex County,50009,6208,4,0,0,6.4,2020/07/28 04:00:00+00,,,8,3449218534.40625,388299.737639156,475,7.65
1253,15,LAMOILLE,Lamoille County,Lamoille County,50015,25268,42,1,0,16.60079051,2020/07/28 04:00:00+00,,,9,2382508472.09766,233466.421530464,3108,12.3
1248,5,CALEDONIA,Caledonia County,Caledonia County,50005,30425,26,0,0,8.58029173,2020/07/28 04:00:00+00,,,10,3345160777.29688,357624.693515919,3260,10.71
1254,17,ORANGE,Orange County,Orange County,50017,28937,15,0,0,5.17259216,2020/07/28 04:00:00+00,,,11,3462403460.88672,290091.271208173,2721,9.4
1258,23,WASHINGTON,Washington County,Washington County,50023,58477,47,1,0,8.08393533,2020/07/28 04:00:00+00,,,12,3512850087.25781,297608.259426324,6880,11.77
1257,21,RUTLAND,Rutland County,Rutland County,50021,59273,84,1,0,14.31688028,2020/07/28 04:00:00+00,,,13,4665818904.90625,370512.703865356,6770,11.42
1246,1,ADDISON,Addison County,Addison County,50001,36939,71,2,0,19.20320234,2020/07/28 04:00:00+00,,,14,4047773398.10156,316780.537680642,4748,12.85
1256,0,PENDING,Pending Validation,Pending Validation,99999,,7,0,0,0,2020/07/28 04:00:00+00,,,15,,,11760,
