OBJECTID,CNTY,CNTYNAME,map_county,Label,CNTYGEOID,Pop2018ACS,C_Total,D_Total,C_New,C_10k,date,Shape_STArea__,Shape_STLength__,OBJECTID_1,SHAPE__Area,SHAPE__Length,T_Total,PercentPop_T
1015,19,ORLEANS,Orleans County,Orleans County,50019,26911,14,0,0,5.203107,2020/07/17 04:00:00+00,,,1,3718834479.34375,295593.472508701,2729,10.14
1012,13,GRAND ISLE,Grand Isle County,Grand Isle County,50013,6965,13,0,0,18.33568406,2020/07/17 04:00:00+00,,,2,994742546.714844,183916.419338521,934,13.41
1009,7,CHITTENDEN,Chittenden County,Chittenden County,50007,162052,681,39,2,41.38006465,2020/07/17 04:00:00+00,,,3,3159550132.08594,282739.064313507,24454,15.09
1020,27,WINDSOR,Windsor County,Windsor County,50027,55427,65,2,0,11.75704518,2020/07/17 04:00:00+00,,,4,4822870629.82422,430506.510047154,5071,9.15
1019,25,WINDHAM,Windham County,Windham County,50025,43150,99,3,0,23.15464496,2020/07/17 04:00:00+00,,,5,3867349312.01563,307420.079076111,4534,10.51
1007,3,BENNINGTON,Bennington County,Bennington County,50003,35920,76,1,0,21.32974096,2020/07/17 04:00:00+00,,,6,3283375284.75391,295063.57477349,3250,9.05
1011,11,FRANKLIN,Franklin County,Franklin County,50011,49025,110,6,0,22.25774468,2020/07/17 04:00:00+00,,,7,3552233834.72266,265891.718600648,4873,9.94
1010,9,ESSEX,Essex County,Essex County,50009,6208,5,0,0,8,2020/07/17 04:00:00+00,,,8,3449218534.42578,388299.737639158,426,6.86
1013,15,LAMOILLE,Lamoille County,Lamoille County,50015,25268,41,1,0,16.2055336,2020/07/17 04:00:00+00,,,9,2382508472.09375,233466.421530466,2743,10.86
1008,5,CALEDONIA,Caledonia County,Caledonia County,50005,30425,24,0,0,7.92026929,2020/07/17 04:00:00+00,,,10,3345160777.32031,357624.693515915,2887,9.49
1014,17,ORANGE,Orange County,Orange County,50017,28937,10,0,0,3.44839477,2020/07/17 04:00:00+00,,,11,3462403460.89063,290091.271208177,2349,8.12
1018,23,WASHINGTON,Washington County,Washington County,50023,58477,45,1,1,7.73993808,2020/07/17 04:00:00+00,,,12,3512850087.26563,297608.259426323,5961,10.19
1017,21,RUTLAND,Rutland County,Rutland County,50021,59273,79,1,0,13.46468503,2020/07/17 04:00:00+00,,,13,4665818904.91797,370512.703865359,5924,9.99
1006,1,ADDISON,Addison County,Addison County,50001,36939,70,2,0,18.9327347,2020/07/17 04:00:00+00,,,14,4047773398.11719,316780.537680639,4256,11.52
1016,0,PENDING,Pending Validation,Pending Validation,99999,,6,0,0,0,2020/07/17 04:00:00+00,,,15,,,10055,
