OBJECTID,CNTY,CNTYNAME,map_county,Label,CNTYGEOID,Pop2018ACS,C_Total,D_Total,C_New,C_10k,date,Shape_STArea__,Shape_STLength__,OBJECTID_1,SHAPE__Area,SHAPE__Length
520,19,ORLEANS,Orleans County,Orleans County,50019,26911,13,0,0,4.8314565,2020/06/17 04:00:00+00,,,1,3718834479.34375,295593.472508701
517,13,GRAND ISLE,Grand Isle County,Grand Isle County,50013,6965,8,0,0,11.28349788,2020/06/17 04:00:00+00,,,2,994742546.714844,183916.419338521
514,7,CHITTENDEN,Chittenden County,Chittenden County,50007,162052,574,39,3,34.87835112,2020/06/17 04:00:00+00,,,3,3159550132.08594,282739.064313507
525,27,WINDSOR,Windsor County,Windsor County,50027,55427,55,2,0,9.948269,2020/06/17 04:00:00+00,,,4,4822870629.82422,430506.510047154
524,25,WINDHAM,Windham County,Windham County,50025,43150,85,3,0,19.88025073,2020/06/17 04:00:00+00,,,5,3867349312.01563,307420.079076111
512,3,BENNINGTON,Bennington County,Bennington County,50003,35920,68,1,1,19.08450507,2020/06/17 04:00:00+00,,,6,3283375284.75391,295063.57477349
516,11,FRANKLIN,Franklin County,Franklin County,50011,49025,102,6,0,20.63899962,2020/06/17 04:00:00+00,,,7,3552233834.72266,265891.718600648
515,9,ESSEX,Essex County,Essex County,50009,6208,3,0,0,4.8,2020/06/17 04:00:00+00,,,8,3449218534.42578,388299.737639158
518,15,LAMOILLE,Lamoille County,Lamoille County,50015,25268,29,1,0,11.46245059,2020/06/17 04:00:00+00,,,9,2382508472.09375,233466.421530466
513,5,CALEDONIA,Caledonia County,Caledonia County,50005,30425,16,0,0,5.28017953,2020/06/17 04:00:00+00,,,10,3345160777.32031,357624.693515915
519,17,ORANGE,Orange County,Orange County,50017,28937,9,0,0,3.1035553,2020/06/17 04:00:00+00,,,11,3462403460.89063,290091.271208177
523,23,WASHINGTON,Washington County,Washington County,50023,58477,41,1,0,7.05194358,2020/06/17 04:00:00+00,,,12,3512850087.26563,297608.259426323
522,21,RUTLAND,Rutland County,Rutland County,50021,59273,60,1,1,10.22634306,2020/06/17 04:00:00+00,,,13,4665818904.91797,370512.703865359
511,1,ADDISON,Addison County,Addison County,50001,36939,67,2,1,18.12133178,2020/06/17 04:00:00+00,,,14,4047773398.11719,316780.537680639
521,0,PENDING,Pending Validation,Pending Validation,99999,0,5,0,0,0,2020/06/17 04:00:00+00,,,15,,
