OBJECTID,CNTY,CNTYNAME,map_county,Label,CNTYGEOID,Pop2018ACS,C_Total,D_Total,C_New,C_10k,date,Shape_STArea__,Shape_STLength__,OBJECTID_1,SHAPE__Area,SHAPE__Length
655,19,ORLEANS,Orleans County,Orleans County,50019,26911,14,0,0,5.203107,2020/06/26 04:00:00+00,,,1,3718834479.34375,295593.472508704
652,13,GRAND ISLE,Grand Isle County,Grand Isle County,50013,6965,10,0,0,14.10437236,2020/06/26 04:00:00+00,,,2,994742546.710938,183916.419338522
649,7,CHITTENDEN,Chittenden County,Chittenden County,50007,162052,601,39,0,36.51897042,2020/06/26 04:00:00+00,,,3,3159550132.08984,282739.064313506
660,27,WINDSOR,Windsor County,Windsor County,50027,55427,58,2,0,10.49090186,2020/06/26 04:00:00+00,,,4,4822870629.84375,430506.510047151
659,25,WINDHAM,Windham County,Windham County,50025,43150,94,3,1,21.98521845,2020/06/26 04:00:00+00,,,5,3867349311.98828,307420.079076111
647,3,BENNINGTON,Bennington County,Bennington County,50003,35920,71,1,0,19.92646852,2020/06/26 04:00:00+00,,,6,3283375284.75781,295063.574773492
651,11,FRANKLIN,Franklin County,Franklin County,50011,49025,104,6,1,21.04368588,2020/06/26 04:00:00+00,,,7,3552233834.72656,265891.718600647
650,9,ESSEX,Essex County,Essex County,50009,6208,3,0,0,4.8,2020/06/26 04:00:00+00,,,8,3449218534.40625,388299.737639156
653,15,LAMOILLE,Lamoille County,Lamoille County,50015,25268,30,1,0,11.85770751,2020/06/26 04:00:00+00,,,9,2382508472.09766,233466.421530464
648,5,CALEDONIA,Caledonia County,Caledonia County,50005,30425,19,0,0,6.27021319,2020/06/26 04:00:00+00,,,10,3345160777.29688,357624.693515919
654,17,ORANGE,Orange County,Orange County,50017,28937,9,0,0,3.1035553,2020/06/26 04:00:00+00,,,11,3462403460.88672,290091.271208173
658,23,WASHINGTON,Washington County,Washington County,50023,58477,41,1,0,7.05194358,2020/06/26 04:00:00+00,,,12,3512850087.25781,297608.259426324
657,21,RUTLAND,Rutland County,Rutland County,50021,59273,73,1,0,12.44205072,2020/06/26 04:00:00+00,,,13,4665818904.90625,370512.703865356
646,1,ADDISON,Addison County,Addison County,50001,36939,68,2,0,18.39179942,2020/06/26 04:00:00+00,,,14,4047773398.10156,316780.537680642
656,0,PENDING,Pending Validation,Pending Validation,99999,0,5,0,0,0,2020/06/26 04:00:00+00,,,15,,
