OBJECTID,CNTY,CNTYNAME,map_county,Label,CNTYGEOID,Pop2018ACS,C_Total,D_Total,C_New,C_10k,date,Shape_STArea__,Shape_STLength__,OBJECTID_1,SHAPE__Area,SHAPE__Length
595,19,ORLEANS,Orleans County,Orleans County,50019,26911,14,0,0,5.203107,2020/06/22 04:00:00+00,,,1,3718834479.34375,295593.472508701
592,13,GRAND ISLE,Grand Isle County,Grand Isle County,50013,6965,8,0,0,11.28349788,2020/06/22 04:00:00+00,,,2,994742546.714844,183916.419338521
589,7,CHITTENDEN,Chittenden County,Chittenden County,50007,162052,590,39,0,35.85056996,2020/06/22 04:00:00+00,,,3,3159550132.08594,282739.064313507
600,27,WINDSOR,Windsor County,Windsor County,50027,55427,55,2,0,9.948269,2020/06/22 04:00:00+00,,,4,4822870629.82422,430506.510047154
599,25,WINDHAM,Windham County,Windham County,50025,43150,91,3,0,21.28356254,2020/06/22 04:00:00+00,,,5,3867349312.01563,307420.079076111
587,3,BENNINGTON,Bennington County,Bennington County,50003,35920,69,1,0,19.36515955,2020/06/22 04:00:00+00,,,6,3283375284.75391,295063.57477349
591,11,FRANKLIN,Franklin County,Franklin County,50011,49025,102,6,0,20.63899962,2020/06/22 04:00:00+00,,,7,3552233834.72266,265891.718600648
590,9,ESSEX,Essex County,Essex County,50009,6208,3,0,0,4.8,2020/06/22 04:00:00+00,,,8,3449218534.42578,388299.737639158
593,15,LAMOILLE,Lamoille County,Lamoille County,50015,25268,30,1,0,11.85770751,2020/06/22 04:00:00+00,,,9,2382508472.09375,233466.421530466
588,5,CALEDONIA,Caledonia County,Caledonia County,50005,30425,18,0,0,5.94020197,2020/06/22 04:00:00+00,,,10,3345160777.32031,357624.693515915
594,17,ORANGE,Orange County,Orange County,50017,28937,9,0,0,3.1035553,2020/06/22 04:00:00+00,,,11,3462403460.89063,290091.271208177
598,23,WASHINGTON,Washington County,Washington County,50023,58477,41,1,0,7.05194358,2020/06/22 04:00:00+00,,,12,3512850087.26563,297608.259426323
597,21,RUTLAND,Rutland County,Rutland County,50021,59273,61,1,0,10.39678211,2020/06/22 04:00:00+00,,,13,4665818904.91797,370512.703865359
586,1,ADDISON,Addison County,Addison County,50001,36939,68,2,1,18.39179942,2020/06/22 04:00:00+00,,,14,4047773398.11719,316780.537680639
596,0,PENDING,Pending Validation,Pending Validation,99999,0,5,0,0,0,2020/06/22 04:00:00+00,,,15,,
