OBJECTID,CNTY,CNTYNAME,map_county,Label,CNTYGEOID,Pop2018ACS,C_Total,D_Total,C_New,C_10k,date,Shape_STArea__,Shape_STLength__,OBJECTID_1,SHAPE__Area,SHAPE__Length,T_Total,PercentPop_T
1120,19,ORLEANS,Orleans County,Orleans County,50019,26911,14,0,0,5.203107,2020/07/24 04:00:00+00,,,1,3718834479.34375,295593.472508701,2861,10.63
1117,13,GRAND ISLE,Grand Isle County,Grand Isle County,50013,6965,13,0,0,18.33568406,2020/07/24 04:00:00+00,,,2,994742546.714844,183916.419338521,965,13.85
1114,7,CHITTENDEN,Chittenden County,Chittenden County,50007,162052,711,39,5,43.20297499,2020/07/24 04:00:00+00,,,3,3159550132.08594,282739.064313507,25593,15.79
1125,27,WINDSOR,Windsor County,Windsor County,50027,55427,69,2,0,12.48055566,2020/07/24 04:00:00+00,,,4,4822870629.82422,430506.510047154,5417,9.77
1124,25,WINDHAM,Windham County,Windham County,50025,43150,101,3,1,23.62241557,2020/07/24 04:00:00+00,,,5,3867349312.01563,307420.079076111,5016,11.62
1112,3,BENNINGTON,Bennington County,Bennington County,50003,35920,81,1,1,22.73301339,2020/07/24 04:00:00+00,,,6,3283375284.75391,295063.57477349,4115,11.46
1116,11,FRANKLIN,Franklin County,Franklin County,50011,49025,114,6,1,23.06711722,2020/07/24 04:00:00+00,,,7,3552233834.72266,265891.718600648,5089,10.38
1115,9,ESSEX,Essex County,Essex County,50009,6208,4,0,0,6.4,2020/07/24 04:00:00+00,,,8,3449218534.42578,388299.737639158,441,7.1
1118,15,LAMOILLE,Lamoille County,Lamoille County,50015,25268,42,1,0,16.60079051,2020/07/24 04:00:00+00,,,9,2382508472.09375,233466.421530466,2844,11.26
1113,5,CALEDONIA,Caledonia County,Caledonia County,50005,30425,25,0,0,8.25028051,2020/07/24 04:00:00+00,,,10,3345160777.32031,357624.693515915,3030,9.96
1119,17,ORANGE,Orange County,Orange County,50017,28937,14,0,3,4.82775268,2020/07/24 04:00:00+00,,,11,3462403460.89063,290091.271208177,2500,8.64
1123,23,WASHINGTON,Washington County,Washington County,50023,58477,47,1,1,8.08393533,2020/07/24 04:00:00+00,,,12,3512850087.26563,297608.259426323,6332,10.83
1122,21,RUTLAND,Rutland County,Rutland County,50021,59273,83,1,1,14.14644123,2020/07/24 04:00:00+00,,,13,4665818904.91797,370512.703865359,6292,10.62
1111,1,ADDISON,Addison County,Addison County,50001,36939,71,2,0,19.20320234,2020/07/24 04:00:00+00,,,14,4047773398.11719,316780.537680639,4441,12.02
1121,0,PENDING,Pending Validation,Pending Validation,99999,,7,0,0,0,2020/07/24 04:00:00+00,,,15,,,13880,
