OBJECTID,CNTY,CNTYNAME,map_county,Label,CNTYGEOID,Pop2018ACS,C_Total,D_Total,C_New,C_10k,date,Shape_STArea__,Shape_STLength__,OBJECTID_1,SHAPE__Area,SHAPE__Length
850,19,ORLEANS,Orleans County,Orleans County,50019,26911,14,0,0,5.203107,2020/07/09 04:00:00+00,,,1,3718834479.34375,295593.472508701
847,13,GRAND ISLE,Grand Isle County,Grand Isle County,50013,6965,10,0,0,14.10437236,2020/07/09 04:00:00+00,,,2,994742546.714844,183916.419338521
844,7,CHITTENDEN,Chittenden County,Chittenden County,50007,162052,645,39,2,39.19257225,2020/07/09 04:00:00+00,,,3,3159550132.08594,282739.064313507
855,27,WINDSOR,Windsor County,Windsor County,50027,55427,62,2,1,11.21441233,2020/07/09 04:00:00+00,,,4,4822870629.82422,430506.510047154
854,25,WINDHAM,Windham County,Windham County,50025,43150,99,3,1,23.15464496,2020/07/09 04:00:00+00,,,5,3867349312.01563,307420.079076111
842,3,BENNINGTON,Bennington County,Bennington County,50003,35920,74,1,0,20.76843198,2020/07/09 04:00:00+00,,,6,3283375284.75391,295063.57477349
846,11,FRANKLIN,Franklin County,Franklin County,50011,49025,110,6,0,22.25774468,2020/07/09 04:00:00+00,,,7,3552233834.72266,265891.718600648
845,9,ESSEX,Essex County,Essex County,50009,6208,5,0,0,8,2020/07/09 04:00:00+00,,,8,3449218534.42578,388299.737639158
848,15,LAMOILLE,Lamoille County,Lamoille County,50015,25268,37,1,1,14.62450593,2020/07/09 04:00:00+00,,,9,2382508472.09375,233466.421530466
843,5,CALEDONIA,Caledonia County,Caledonia County,50005,30425,21,0,0,6.93023563,2020/07/09 04:00:00+00,,,10,3345160777.32031,357624.693515915
849,17,ORANGE,Orange County,Orange County,50017,28937,10,0,0,3.44839477,2020/07/09 04:00:00+00,,,11,3462403460.89063,290091.271208177
853,23,WASHINGTON,Washington County,Washington County,50023,58477,42,1,0,7.22394221,2020/07/09 04:00:00+00,,,12,3512850087.26563,297608.259426323
852,21,RUTLAND,Rutland County,Rutland County,50021,59273,75,1,0,12.78292882,2020/07/09 04:00:00+00,,,13,4665818904.91797,370512.703865359
841,1,ADDISON,Addison County,Addison County,50001,36939,68,2,0,18.39179942,2020/07/09 04:00:00+00,,,14,4047773398.11719,316780.537680639
851,0,PENDING,Pending Validation,Pending Validation,99999,0,5,0,0,0,2020/07/09 04:00:00+00,,,15,,
