OBJECTID,CNTY,CNTYNAME,map_county,Label,CNTYGEOID,Pop2018ACS,C_Total,D_Total,C_New,C_10k,date,Shape_STArea__,Shape_STLength__,OBJECTID_1,SHAPE__Area,SHAPE__Length,T_Total,PercentPop_T
1090,19,ORLEANS,Orleans County,Orleans County,50019,26911,14,0,0,5.203107,2020/07/22 04:00:00+00,,,1,3718834479.34375,295593.472508704,2861,10.63
1087,13,GRAND ISLE,Grand Isle County,Grand Isle County,50013,6965,13,0,0,18.33568406,2020/07/22 04:00:00+00,,,2,994742546.710938,183916.419338522,965,13.85
1084,7,CHITTENDEN,Chittenden County,Chittenden County,50007,162052,705,39,10,42.83839292,2020/07/22 04:00:00+00,,,3,3159550132.08984,282739.064313506,25593,15.79
1095,27,WINDSOR,Windsor County,Windsor County,50027,55427,69,2,1,12.48055566,2020/07/22 04:00:00+00,,,4,4822870629.84375,430506.510047151,5417,9.77
1094,25,WINDHAM,Windham County,Windham County,50025,43150,100,3,0,23.38853026,2020/07/22 04:00:00+00,,,5,3867349311.98828,307420.079076111,5016,11.62
1082,3,BENNINGTON,Bennington County,Bennington County,50003,35920,80,1,0,22.4523589,2020/07/22 04:00:00+00,,,6,3283375284.75781,295063.574773492,4116,11.46
1086,11,FRANKLIN,Franklin County,Franklin County,50011,49025,111,6,0,22.46008782,2020/07/22 04:00:00+00,,,7,3552233834.72656,265891.718600647,5089,10.38
1085,9,ESSEX,Essex County,Essex County,50009,6208,4,0,0,6.4,2020/07/22 04:00:00+00,,,8,3449218534.40625,388299.737639156,441,7.1
1088,15,LAMOILLE,Lamoille County,Lamoille County,50015,25268,42,1,0,16.60079051,2020/07/22 04:00:00+00,,,9,2382508472.09766,233466.421530464,2844,11.26
1083,5,CALEDONIA,Caledonia County,Caledonia County,50005,30425,25,0,0,8.25028051,2020/07/22 04:00:00+00,,,10,3345160777.29688,357624.693515919,3030,9.96
1089,17,ORANGE,Orange County,Orange County,50017,28937,11,0,0,3.79323425,2020/07/22 04:00:00+00,,,11,3462403460.88672,290091.271208173,2500,8.64
1093,23,WASHINGTON,Washington County,Washington County,50023,58477,45,1,0,7.73993808,2020/07/22 04:00:00+00,,,12,3512850087.25781,297608.259426324,6332,10.83
1092,21,RUTLAND,Rutland County,Rutland County,50021,59273,80,1,0,13.63512408,2020/07/22 04:00:00+00,,,13,4665818904.90625,370512.703865356,6291,10.61
1081,1,ADDISON,Addison County,Addison County,50001,36939,71,2,0,19.20320234,2020/07/22 04:00:00+00,,,14,4047773398.10156,316780.537680642,4441,12.02
1091,0,PENDING,Pending Validation,Pending Validation,99999,,7,0,0,0,2020/07/22 04:00:00+00,,,15,,,11646,
