OBJECTID,CNTY,CNTYNAME,map_county,Label,CNTYGEOID,Pop2018ACS,C_Total,D_Total,C_New,C_10k,date,Shape_STArea__,Shape_STLength__,OBJECTID_1,SHAPE__Area,SHAPE__Length
805,19,ORLEANS,Orleans County,Orleans County,50019,26911,14,0,0,5.203107,2020/07/06 04:00:00+00,,,1,3718834479.34375,295593.472508704
802,13,GRAND ISLE,Grand Isle County,Grand Isle County,50013,6965,10,0,0,14.10437236,2020/07/06 04:00:00+00,,,2,994742546.710938,183916.419338522
799,7,CHITTENDEN,Chittenden County,Chittenden County,50007,162052,631,39,1,38.34188076,2020/07/06 04:00:00+00,,,3,3159550132.08984,282739.064313506
810,27,WINDSOR,Windsor County,Windsor County,50027,55427,59,2,0,10.67177947,2020/07/06 04:00:00+00,,,4,4822870629.84375,430506.510047151
809,25,WINDHAM,Windham County,Windham County,50025,43150,98,3,1,22.92075966,2020/07/06 04:00:00+00,,,5,3867349311.98828,307420.079076111
797,3,BENNINGTON,Bennington County,Bennington County,50003,35920,73,1,0,20.4877775,2020/07/06 04:00:00+00,,,6,3283375284.75781,295063.574773492
801,11,FRANKLIN,Franklin County,Franklin County,50011,49025,110,6,0,22.25774468,2020/07/06 04:00:00+00,,,7,3552233834.72656,265891.718600647
800,9,ESSEX,Essex County,Essex County,50009,6208,4,0,0,6.4,2020/07/06 04:00:00+00,,,8,3449218534.40625,388299.737639156
803,15,LAMOILLE,Lamoille County,Lamoille County,50015,25268,34,1,0,13.43873518,2020/07/06 04:00:00+00,,,9,2382508472.09766,233466.421530464
798,5,CALEDONIA,Caledonia County,Caledonia County,50005,30425,21,0,0,6.93023563,2020/07/06 04:00:00+00,,,10,3345160777.29688,357624.693515919
804,17,ORANGE,Orange County,Orange County,50017,28937,10,0,0,3.44839477,2020/07/06 04:00:00+00,,,11,3462403460.88672,290091.271208173
808,23,WASHINGTON,Washington County,Washington County,50023,58477,42,1,0,7.22394221,2020/07/06 04:00:00+00,,,12,3512850087.25781,297608.259426324
807,21,RUTLAND,Rutland County,Rutland County,50021,59273,75,1,1,12.78292882,2020/07/06 04:00:00+00,,,13,4665818904.90625,370512.703865356
796,1,ADDISON,Addison County,Addison County,50001,36939,68,2,0,18.39179942,2020/07/06 04:00:00+00,,,14,4047773398.10156,316780.537680642
806,0,PENDING,Pending Validation,Pending Validation,99999,0,5,0,0,0,2020/07/06 04:00:00+00,,,15,,
