County,Cases,Deaths
Acadia,159,11
Allen,94,10
Ascension,745,48
Assumption,234,11
Avoyelles,79,9
Beauregard,49,4
Bienville,81,20
Bossier,327,22
Caddo,1818,143
Calcasieu,507,40
Caldwell,48,0
Cameron,3,0
Catahoula,103,3
Claiborne,59,10
Concordia,54,4
De Soto,223,14
East Baton Rouge,2898,201
East Carroll,25,0
East Feliciana,169,21
Evangeline,74,1
Franklin,266,8
Grant,18,1
Iberia,352,33
Iberville,537,38
Jackson,70,8
Jefferson,6860,423
Jefferson Davis,69,6
La Salle,35,0
Lafayette,541,23
Lafourche,719,60
Lincoln,116,13
Livingston,343,23
Madison,18,0
Morehouse,89,5
Natchitoches,102,10
Orleans,6768,482
Ouachita,869,31
Out of State,0,0
Parish Under Investigation,65,0
Plaquemines,192,16
Pointe Coupee,152,17
Rapides,417,13
Red River,38,6
Richland,104,1
Sabine,29,0
St. Bernard,516,18
St. Charles,602,42
St. Helena,38,1
St. James,284,22
St. John the Baptist,820,78
St. Landry,244,51
St. Martin,278,22
St. Mary,263,27
St. Tammany,1511,142
Tangipahoa,696,30
Tensas,6,0
Terrebonne,550,41
Union,231,11
Vermilion,42,2
Vernon,19,2
Washington,356,29
Webster,112,5
West Baton Rouge,150,30
West Carroll,6,0
West Feliciana,181,7
Winn,66,2
Total,33489,2351
