County,Cases,Deaths
Appling,108,10
Atkinson,20,2
Bacon,59,2
Baker,33,2
Baldwin,285,12
Banks,43,0
Barrow,258,8
Bartow,384,35
Ben Hill,45,1
Berrien,20,0
Bibb,392,15
Bleckley,33,0
Brantley,37,2
Brooks,63,9
Bryan,61,4
Bulloch,45,2
Burke,112,3
Butts,197,17
Calhoun,124,7
Camden,47,1
Candler,10,0
Carroll,409,20
Catoosa,72,0
Charlton,26,1
Chatham,356,14
Chattahoochee,19,0
Chattooga,15,2
Cherokee,699,24
Clarke,195,13
Clay,29,3
Clayton,1002,38
Clinch,41,1
Cobb,2397,132
Coffee,192,11
Colquitt,246,11
Columbia,205,6
Cook,32,2
Coweta,284,4
Crawford,19,0
Crisp,193,7
Dade,20,1
Dawson,84,1
DeKalb,2775,80
Decatur,116,3
Dodge,38,2
Dooly,156,12
Dougherty,1662,134
Douglas,436,15
Early,233,28
Echols,15,0
Effingham,38,1
Elbert,46,0
Emanuel,26,1
Evans,4,0
Fannin,36,1
Fayette,206,11
Floyd,181,13
Forsyth,398,11
Franklin,31,1
Fulton,3723,164
Gilmer,107,0
Glascock,1,0
Glynn,77,1
Gordon,127,15
Grady,90,4
Greene,57,6
Gwinnett,2592,101
Habersham,415,16
Hall,2147,40
Hancock,149,4
Haralson,34,2
Harris,75,3
Hart,19,0
Heard,17,1
Henry,629,18
Houston,314,16
Irwin,22,1
Jackson,127,3
Jasper,26,0
Jeff Davis,24,1
Jefferson,22,1
Jenkins,16,1
Johnson,71,2
Jones,31,0
Lamar,41,1
Lanier,12,2
Laurens,89,1
Lee,344,23
Liberty,45,0
Lincoln,12,0
Long,6,0
Lowndes,202,4
Lumpkin,82,1
Macon,90,5
Madison,29,1
Marion,39,1
McDuffie,55,4
McIntosh,9,0
Meriwether,72,1
Miller,38,0
Mitchell,388,32
Monroe,94,5
Montgomery,8,0
Morgan,33,0
Murray,59,1
Muscogee,424,15
Newton,261,10
Non-Georgia Resident,1558,25
Oconee,80,2
Oglethorpe,55,4
Paulding,241,10
Peach,70,2
Pickens,35,3
Pierce,70,4
Pike,44,2
Polk,79,0
Pulaski,36,1
Putnam,62,7
Quitman,8,1
Rabun,14,1
Randolph,169,21
Richmond,490,17
Rockdale,249,7
Schley,16,1
Screven,19,1
Seminole,40,2
Spalding,239,15
Stephens,98,1
Stewart,37,0
Sumter,415,38
Talbot,28,1
Taliaferro,1,0
Tattnall,11,0
Taylor,22,2
Telfair,29,1
Terrell,199,24
Thomas,281,29
Tift,176,11
Toombs,44,4
Towns,21,1
Treutlen,8,0
Troup,199,6
Turner,81,12
Twiggs,9,0
Union,36,1
Unknown,1826,0
Upson,258,29
Walker,74,0
Walton,158,8
Ware,170,12
Warren,16,0
Washington,63,1
Wayne,14,0
Webster,11,1
Wheeler,7,0
White,89,2
Whitfield,179,6
Wilcox,95,12
Wilkes,28,1
Wilkinson,43,3
Worth,195,17
Total,37147,1592
