County,Cases,Deaths
Appling,536,16
Atkinson,274,2
Bacon,396,6
Baker,53,3
Baldwin,884,38
Banks,223,3
Barrow,1004,32
Bartow,1440,55
Ben Hill,319,2
Berrien,244,0
Bibb,2894,58
Bleckley,118,3
Brantley,217,4
Brooks,346,14
Bryan,497,6
Bulloch,1002,11
Burke,372,7
Butts,432,36
Calhoun,183,6
Camden,568,4
Candler,197,3
Carroll,1653,42
Catoosa,491,9
Charlton,296,3
Chatham,4590,57
Chattahoochee,552,1
Chattooga,158,2
Cherokee,2623,53
Clarke,1557,16
Clay,69,2
Clayton,4248,95
Clinch,166,4
Cobb,10653,297
Coffee,1245,23
Colquitt,1437,21
Columbia,1689,19
Cook,367,6
Coweta,1258,18
Crawford,86,0
Crisp,350,14
Dade,102,1
Dawson,256,3
DeKalb,11679,213
Decatur,564,8
Dodge,178,2
Dooly,236,14
Dougherty,2523,167
Douglas,2158,46
Early,335,31
Echols,220,0
Effingham,571,1
Elbert,306,1
Emanuel,374,6
Evans,193,1
Fannin,252,2
Fayette,873,24
Floyd,1138,15
Forsyth,1730,18
Franklin,339,4
Fulton,16867,381
Gilmer,463,3
Glascock,19,0
Glynn,2209,25
Gordon,923,23
Grady,375,4
Greene,222,11
Gwinnett,16255,223
Habersham,983,48
Hall,5165,72
Hancock,275,34
Haralson,179,6
Harris,591,15
Hart,230,1
Heard,125,3
Henry,2751,39
Houston,1572,42
Irwin,141,1
Jackson,849,13
Jasper,116,1
Jeff Davis,330,5
Jefferson,394,5
Jenkins,217,19
Johnson,213,7
Jones,235,1
Lamar,212,8
Lanier,206,4
Laurens,637,3
Lee,490,22
Liberty,548,2
Lincoln,115,4
Long,105,1
Lowndes,2744,27
Lumpkin,259,6
Macon,166,10
Madison,294,4
Marion,128,4
McDuffie,261,9
McIntosh,135,2
Meriwether,338,5
Miller,120,0
Mitchell,572,41
Monroe,399,23
Montgomery,115,0
Morgan,177,0
Murray,495,2
Muscogee,4044,80
Newton,1455,29
Non-GA Resident/Unknown State,14776,76
Oconee,359,15
Oglethorpe,175,7
Paulding,1306,18
Peach,280,12
Pickens,252,5
Pierce,364,5
Pike,178,3
Polk,584,6
Pulaski,78,3
Putnam,343,17
Quitman,27,1
Rabun,172,3
Randolph,241,26
Richmond,3200,77
Rockdale,1057,14
Schley,46,1
Screven,161,9
Seminole,115,2
Spalding,802,38
Stephens,506,10
Stewart,244,5
Sumter,708,56
Talbot,123,3
Taliaferro,7,0
Tattnall,365,1
Taylor,65,2
Telfair,238,6
Terrell,285,29
Thomas,902,39
Tift,1189,34
Toombs,558,7
Towns,107,1
Treutlen,78,3
Troup,2130,53
Turner,214,18
Twiggs,76,3
Union,184,6
Unknown,2429,6
Upson,457,45
Walker,504,14
Walton,840,32
Ware,1038,24
Warren,46,0
Washington,376,1
Wayne,541,4
Webster,36,2
Wheeler,82,1
White,278,5
Whitfield,2881,24
Wilcox,154,18
Wilkes,168,3
Wilkinson,162,10
Worth,408,23
Total,178323,3642
