County,Cases,Deaths
Appling,132,13
Atkinson,29,2
Bacon,75,2
Baker,33,2
Baldwin,331,24
Banks,73,0
Barrow,283,11
Bartow,443,36
Ben Hill,58,1
Berrien,34,0
Bibb,433,24
Bleckley,39,0
Brantley,51,2
Brooks,66,9
Bryan,70,5
Bulloch,52,2
Burke,121,4
Butts,209,20
Calhoun,126,5
Camden,56,1
Candler,13,0
Carroll,445,24
Catoosa,101,0
Charlton,29,1
Chatham,445,21
Chattahoochee,24,0
Chattooga,24,2
Cherokee,810,29
Clarke,224,13
Clay,35,2
Clayton,1119,43
Clinch,49,1
Cobb,2702,142
Coffee,248,13
Colquitt,296,14
Columbia,223,6
Cook,46,2
Coweta,331,8
Crawford,26,0
Crisp,221,7
Dade,27,1
Dawson,101,1
DeKalb,3257,102
Decatur,146,4
Dodge,48,2
Dooly,168,12
Dougherty,1727,139
Douglas,490,22
Early,234,29
Echols,61,0
Effingham,63,1
Elbert,71,0
Emanuel,26,2
Evans,5,0
Fannin,40,1
Fayette,220,11
Floyd,227,14
Forsyth,449,12
Franklin,36,1
Fulton,4054,196
Gilmer,135,0
Glascock,1,0
Glynn,85,1
Gordon,138,15
Grady,93,4
Greene,64,7
Gwinnett,3056,122
Habersham,500,19
Hall,2322,41
Hancock,191,21
Haralson,36,2
Harris,83,4
Hart,26,0
Heard,26,2
Henry,632,19
Houston,343,16
Irwin,23,1
Jackson,147,4
Jasper,31,1
Jeff Davis,33,1
Jefferson,26,1
Jenkins,18,1
Johnson,76,2
Jones,34,0
Lamar,51,1
Lanier,12,2
Laurens,101,1
Lee,343,22
Liberty,65,0
Lincoln,15,0
Long,12,1
Lowndes,245,4
Lumpkin,88,1
Macon,95,6
Madison,38,1
Marion,49,2
McDuffie,62,5
McIntosh,12,0
Meriwether,78,2
Miller,38,0
Mitchell,399,32
Monroe,117,8
Montgomery,9,0
Morgan,36,0
Murray,78,1
Muscogee,550,17
Newton,304,10
Non-Georgia Resident,1913,28
Oconee,103,5
Oglethorpe,58,5
Paulding,277,11
Peach,70,3
Pickens,43,3
Pierce,89,3
Pike,49,2
Polk,95,0
Pulaski,39,2
Putnam,87,8
Quitman,11,1
Rabun,15,1
Randolph,170,19
Richmond,527,18
Rockdale,265,9
Schley,16,1
Screven,27,2
Seminole,42,2
Spalding,253,14
Stephens,122,2
Stewart,42,0
Sumter,445,40
Talbot,35,1
Taliaferro,1,0
Tattnall,15,0
Taylor,21,2
Telfair,32,1
Terrell,211,26
Thomas,311,31
Tift,219,14
Toombs,50,4
Towns,22,1
Treutlen,8,0
Troup,250,9
Turner,100,12
Twiggs,13,0
Union,39,1
Unknown,2657,0
Upson,273,33
Walker,94,0
Walton,189,10
Ware,209,13
Warren,17,0
Washington,74,1
Wayne,16,0
Webster,11,1
Wheeler,9,0
White,94,3
Whitfield,279,7
Wilcox,98,13
Wilkes,32,1
Wilkinson,65,4
Worth,209,19
Total,42902,1827
