County,Cases,Deaths
Barnstable,1745,156
Berkshire,653,46
Bristol,9073,623
Dukes,65,0
Dukes and Nantucket,0,1
Essex,17232,1177
Franklin,402,60
Hampden,7404,696
Hampshire,1126,127
Middlesex,25706,1978
Nantucket,33,0
Norfolk,10236,984
Plymouth,9086,710
Suffolk,21222,1055
Unknown,307,6
Worcester,13322,990
Total,117612,8609
