LDH Region,Parish,Cases,Deaths,Commercial Tests,State Tests,FID,Column10,Column11,x,y
4,Acadia,159,11,2585,78,1,,,-10287256.783187998,3540974.1934074564
5,Allen,94,10,506,39,2,,,-10333543.42745984,3587782.93213322
2,Ascension,745,48,5573,67,3,,,-10120199.62335453,3529750.239441165
3,Assumption,234,11,1245,130,4,,,-10137042.262311555,3490821.6645793305
6,Avoyelles,79,9,1189,75,5,,,-10241549.000268279,3642689.4146340676
5,Beauregard,49,4,969,12,6,,,-10390928.624963773,3587216.1699105264
7,Bienville,81,20,689,20,7,,,-10358946.535258865,3809003.114831105
7,Bossier,327,22,7219,46,8,,,-10420083.199602531,3852857.002733777
7,Caddo,1818,143,17971,126,9,,,-10450952.094399506,3839827.798885799
5,Calcasieu,507,40,7824,173,10,,,-10392565.021478435,3533072.5757281906
8,Caldwell,48,0,455,117,11,,,-10254373.005607665,3775449.62557093
5,Cameron,3,0,105,1,12,,,-10370134.14408359,3493112.751841207
6,Catahoula,103,3,398,13,13,,,-10230428.183138032,3715327.4434908433
7,Claiborne,59,10,575,32,14,,,-10352233.969964031,3871825.723239455
6,Concordia,54,4,397,6,15,,,-10201318.13629559,3690859.394422525
7,De Soto,223,14,1924,20,16,,,-10434576.997303816,3770825.3006083504
2,East Baton Rouge,2898,201,15682,839,17,,,-10140715.805507733,3572952.0446759933
8,East Carroll,25,0,431,4,18,,,-10156233.742524315,3859896.394859259
2,East Feliciana,169,21,667,210,19,,,-10135138.699018989,3612660.396081652
4,Evangeline,74,1,877,147,20,,,-10286577.734294157,3597627.73082642
8,Franklin,266,8,1203,222,21,,,-10205069.603135323,3780849.991122153
6,Grant,18,1,424,12,22,,,-10303676.408080004,3710901.1912284456
4,Iberia,352,33,3056,214,23,,,-10213919.50265339,3499442.344662809
2,Iberville,537,38,1630,418,24,,,-10170170.942771632,3531648.978740774
8,Jackson,70,8,527,51,25,,,-10303487.164945656,3803043.454476528
1,Jefferson,6860,423,33228,861,26,,,-10033014.198165242,3468945.9830374937
5,Jefferson Davis,69,6,929,366,27,,,-10332018.350435972,3538039.0255269627
6,La Salle,35,0,566,32,28,,,-10259259.93125349,3720999.218044266
4,Lafayette,541,23,11667,172,29,,,-10248506.46844286,3530168.865117412
3,Lafourche,719,60,4668,508,30,,,-10067322.865227725,3448429.5162453293
8,Lincoln,116,13,974,100,31,,,-10315398.350460537,3842561.460019133
9,Livingston,343,23,4085,54,32,,,-10101041.53898901,3561580.8148531397
8,Madison,18,0,232,11,33,,,-10157391.465228565,3811637.432980501
8,Morehouse,89,5,1222,37,34,,,-10219329.629905943,3871499.85631458
7,Natchitoches,102,10,1149,64,35,,,-10363432.710737834,3727167.025326693
1,Orleans,6768,482,31465,1786,36,,,-10005685.263175491,3512320.6196337542
8,Ouachita,869,31,7647,309,37,,,-10258625.410155967,3826287.7042223224
,Out of State,0,0,5293,155,38,,,0,0
,Parish Under Investigation,65,0,0,0,39,,,0,0
1,Plaquemines,192,16,1311,10,40,,,-10001555.310067061,3456784.848227697
2,Pointe Coupee,152,17,723,160,41,,,-10193113.889824126,3581957.3746667574
6,Rapides,417,13,3368,296,42,,,-10300748.705472142,3658620.1381813665
7,Red River,38,6,319,15,43,,,-10390550.138695076,3775561.314531145
8,Richland,104,1,1358,27,44,,,-10211648.585041204,3824147.525620587
7,Sabine,29,0,639,29,45,,,-10411411.411269734,3707251.3324243226
1,St. Bernard,516,18,2777,42,46,,,-9993785.209609691,3485216.3946821494
3,St. Charles,602,42,4180,132,47,,,-10059096.354858104,3488646.538745664
9,St. Helena,38,1,189,9,48,,,-10097824.405705085,3609672.114795786
3,St. James,284,22,2351,203,49,,,-10107397.881913304,3506939.911676027
3,St. John the Baptist,820,78,3597,301,50,,,-10079623.668960385,3513462.897983378
4,St. Landry,244,51,3222,217,51,,,-10242038.806027768,3580798.537430845
4,St. Martin,278,22,2416,33,52,,,-10210980.668096446,3532937.2949286015
3,St. Mary,263,27,1757,198,53,,,-10180345.544230137,3468099.9312919388
9,St. Tammany,1511,142,12282,322,54,,,-10011930.286608994,3561118.5352116227
9,Tangipahoa,696,30,4792,60,55,,,-10064617.80160145,3586895.2748300675
8,Tensas,6,0,105,2,56,,,-10167922.289057609,3763563.9723020704
3,Terrebonne,550,41,4360,261,57,,,-10113097.43984192,3431495.9976110803
8,Union,231,11,1333,38,58,,,-10283126.830079567,3873039.19327773
4,Vermilion,42,2,1770,33,59,,,-10277416.140201872,3483772.465794131
6,Vernon,19,2,960,4,60,,,-10373206.562029485,3646859.6663601766
9,Washington,356,29,1999,377,61,,,-10023262.61077175,3613735.3157097343
7,Webster,112,5,1914,13,62,,,-10390004.673190188,3857402.162682951
2,West Baton Rouge,150,30,921,27,63,,,-10164894.39890803,3563268.6671164106
8,West Carroll,6,0,398,25,64,,,-10180913.273633184,3867302.8079597773
2,West Feliciana,181,7,112,328,65,,,-10176004.0840892,3616641.5648341277
6,Winn,66,2,437,63,66,,,-10312270.272769246,3756026.2806381825
