LDH Region,Parish,Cases,Deaths,Commercial Tests,State Tests,FID,Column10,Column11,x,y
4,Acadia,189,11,2695,89,1,,,-10287256.783187998,3540974.1934074564
5,Allen,94,10,512,41,2,,,-10333543.42745984,3587782.93213322
2,Ascension,749,48,5643,67,3,,,-10120199.62335453,3529750.239441165
3,Assumption,235,11,1270,131,4,,,-10137042.262311555,3490821.6645793305
6,Avoyelles,80,9,1207,75,5,,,-10241549.000268279,3642689.4146340676
5,Beauregard,50,4,997,13,6,,,-10390928.624963773,3587216.1699105264
7,Bienville,83,20,706,20,7,,,-10358946.535258865,3809003.114831105
7,Bossier,336,23,7339,46,8,,,-10420083.199602531,3852857.002733777
7,Caddo,1846,147,18288,126,9,,,-10450952.094399506,3839827.798885799
5,Calcasieu,513,40,8019,184,10,,,-10392565.021478435,3533072.5757281906
8,Caldwell,48,0,460,117,11,,,-10254373.005607665,3775449.62557093
5,Cameron,3,0,105,1,12,,,-10370134.14408359,3493112.751841207
6,Catahoula,103,3,407,13,13,,,-10230428.183138032,3715327.4434908433
7,Claiborne,59,10,590,32,14,,,-10352233.969964031,3871825.723239455
6,Concordia,55,4,403,6,15,,,-10201318.13629559,3690859.394422525
7,De Soto,225,14,1959,20,16,,,-10434576.997303816,3770825.3006083504
2,East Baton Rouge,2953,205,15987,888,17,,,-10140715.805507733,3572952.0446759933
8,East Carroll,26,0,447,5,18,,,-10156233.742524315,3859896.394859259
2,East Feliciana,172,21,679,257,19,,,-10135138.699018989,3612660.396081652
4,Evangeline,74,1,898,196,20,,,-10286577.734294157,3597627.73082642
8,Franklin,266,8,1223,223,21,,,-10205069.603135323,3780849.991122153
6,Grant,20,1,432,12,22,,,-10303676.408080004,3710901.1912284456
4,Iberia,352,31,3122,215,23,,,-10213919.50265339,3499442.344662809
2,Iberville,543,38,1651,434,24,,,-10170170.942771632,3531648.978740774
8,Jackson,69,8,537,52,25,,,-10303487.164945656,3803043.454476528
1,Jefferson,6897,424,33926,861,26,,,-10033014.198165242,3468945.9830374937
5,Jefferson Davis,70,6,942,393,27,,,-10332018.350435972,3538039.0255269627
6,La Salle,36,0,572,32,28,,,-10259259.93125349,3720999.218044266
4,Lafayette,543,23,11897,195,29,,,-10248506.46844286,3530168.865117412
3,Lafourche,724,63,4761,512,30,,,-10067322.865227725,3448429.5162453293
8,Lincoln,122,13,1010,102,31,,,-10315398.350460537,3842561.460019133
9,Livingston,347,23,4164,55,32,,,-10101041.53898901,3561580.8148531397
8,Madison,24,0,249,11,33,,,-10157391.465228565,3811637.432980501
8,Morehouse,92,5,1241,38,34,,,-10219329.629905943,3871499.85631458
7,Natchitoches,102,12,1159,64,35,,,-10363432.710737834,3727167.025326693
1,Orleans,6787,489,32343,1786,36,,,-10005685.263175491,3512320.6196337542
8,Ouachita,891,31,7816,313,37,,,-10258625.410155967,3826287.7042223224
,Out of State,0,0,5451,157,38,,,0,0
,Parish Under Investigation,65,0,0,0,39,,,0,0
1,Plaquemines,193,16,1334,10,40,,,-10001555.310067061,3456784.848227697
2,Pointe Coupee,155,18,749,161,41,,,-10193113.889824126,3581957.3746667574
6,Rapides,424,14,3402,298,42,,,-10300748.705472142,3658620.1381813665
7,Red River,40,6,327,15,43,,,-10390550.138695076,3775561.314531145
8,Richland,106,1,1390,27,44,,,-10211648.585041204,3824147.525620587
7,Sabine,29,0,647,29,45,,,-10411411.411269734,3707251.3324243226
1,St. Bernard,517,18,2831,42,46,,,-9993785.209609691,3485216.3946821494
3,St. Charles,606,41,4259,132,47,,,-10059096.354858104,3488646.538745664
9,St. Helena,40,1,191,9,48,,,-10097824.405705085,3609672.114795786
3,St. James,284,23,2369,205,49,,,-10107397.881913304,3506939.911676027
3,St. John the Baptist,830,77,3648,340,50,,,-10079623.668960385,3513462.897983378
4,St. Landry,244,51,3280,254,51,,,-10242038.806027768,3580798.537430845
4,St. Martin,278,22,2468,33,52,,,-10210980.668096446,3532937.2949286015
3,St. Mary,268,28,1853,200,53,,,-10180345.544230137,3468099.9312919388
9,St. Tammany,1520,143,12627,322,54,,,-10011930.286608994,3561118.5352116227
9,Tangipahoa,707,30,4883,60,55,,,-10064617.80160145,3586895.2748300675
8,Tensas,6,0,106,2,56,,,-10167922.289057609,3763563.9723020704
3,Terrebonne,557,43,4501,263,57,,,-10113097.43984192,3431495.9976110803
8,Union,238,13,1374,44,58,,,-10283126.830079567,3873039.19327773
4,Vermilion,43,3,1827,34,59,,,-10277416.140201872,3483772.465794131
6,Vernon,19,2,982,4,60,,,-10373206.562029485,3646859.6663601766
9,Washington,357,31,2070,381,61,,,-10023262.61077175,3613735.3157097343
7,Webster,112,5,1947,13,62,,,-10390004.673190188,3857402.162682951
2,West Baton Rouge,150,30,940,27,63,,,-10164894.39890803,3563268.6671164106
8,West Carroll,11,0,408,25,64,,,-10180913.273633184,3867302.8079597773
2,West Feliciana,184,8,114,332,65,,,-10176004.0840892,3616641.5648341277
6,Winn,76,2,441,70,66,,,-10312270.272769246,3756026.2806381825
