LDH Region,Parish,Cases,Deaths,Commercial Tests,State Tests,FID,Column10,Column11,x,y
4,Acadia,152,11,2411,56,1,,,-10287256.783187998,3540974.1934074564
5,Allen,90,9,432,34,2,,,-10333543.42745984,3587782.93213322
2,Ascension,695,48,4766,64,3,,,-10120199.62335453,3529750.239441165
3,Assumption,228,11,1049,103,4,,,-10137042.262311555,3490821.6645793305
6,Avoyelles,75,7,1079,70,5,,,-10241549.000268279,3642689.4146340676
5,Beauregard,46,4,869,10,6,,,-10390928.624963773,3587216.1699105264
7,Bienville,77,20,633,20,7,,,-10358946.535258865,3809003.114831105
7,Bossier,312,21,6701,44,8,,,-10420083.199602531,3852857.002733777
7,Caddo,1765,132,16696,125,9,,,-10450952.094399506,3839827.798885799
5,Calcasieu,496,37,7281,164,10,,,-10392565.021478435,3533072.5757281906
8,Caldwell,48,0,407,117,11,,,-10254373.005607665,3775449.62557093
5,Cameron,3,0,95,1,12,,,-10370134.14408359,3493112.751841207
6,Catahoula,85,3,309,11,13,,,-10230428.183138032,3715327.4434908433
7,Claiborne,59,9,518,32,14,,,-10352233.969964031,3871825.723239455
6,Concordia,43,4,265,6,15,,,-10201318.13629559,3690859.394422525
7,De Soto,215,14,1761,20,16,,,-10434576.997303816,3770825.3006083504
2,East Baton Rouge,2398,188,12366,772,17,,,-10140715.805507733,3572952.0446759933
8,East Carroll,23,0,400,4,18,,,-10156233.742524315,3859896.394859259
2,East Feliciana,136,20,533,202,19,,,-10135138.699018989,3612660.396081652
4,Evangeline,67,1,723,111,20,,,-10286577.734294157,3597627.73082642
8,Franklin,208,4,920,132,21,,,-10205069.603135323,3780849.991122153
6,Grant,18,0,386,9,22,,,-10303676.408080004,3710901.1912284456
4,Iberia,286,26,2582,212,23,,,-10213919.50265339,3499442.344662809
2,Iberville,501,36,1371,408,24,,,-10170170.942771632,3531648.978740774
8,Jackson,67,5,473,46,25,,,-10303487.164945656,3803043.454476528
1,Jefferson,6755,402,30173,860,26,,,-10033014.198165242,3468945.9830374937
5,Jefferson Davis,68,6,886,160,27,,,-10332018.350435972,3538039.0255269627
6,La Salle,33,0,508,32,28,,,-10259259.93125349,3720999.218044266
4,Lafayette,508,22,10791,135,29,,,-10248506.46844286,3530168.865117412
3,Lafourche,713,59,4249,497,30,,,-10067322.865227725,3448429.5162453293
8,Lincoln,107,11,855,99,31,,,-10315398.350460537,3842561.460019133
9,Livingston,281,24,3482,51,32,,,-10101041.53898901,3561580.8148531397
8,Madison,13,0,205,11,33,,,-10157391.465228565,3811637.432980501
8,Morehouse,65,5,966,34,34,,,-10219329.629905943,3871499.85631458
7,Natchitoches,100,9,990,61,35,,,-10363432.710737834,3727167.025326693
1,Orleans,6693,470,28694,1785,36,,,-10005685.263175491,3512320.6196337542
8,Ouachita,842,25,6879,295,37,,,-10258625.410155967,3826287.7042223224
,Out of State,0,0,4306,141,38,,,0,0
,Parish Under Investigation,64,2,0,0,39,,,0,0
1,Plaquemines,190,17,1190,10,40,,,-10001555.310067061,3456784.848227697
2,Pointe Coupee,136,17,594,152,41,,,-10193113.889824126,3581957.3746667574
6,Rapides,370,13,2959,207,42,,,-10300748.705472142,3658620.1381813665
7,Red River,36,6,277,15,43,,,-10390550.138695076,3775561.314531145
8,Richland,103,1,1212,26,44,,,-10211648.585041204,3824147.525620587
7,Sabine,19,1,481,29,45,,,-10411411.411269734,3707251.3324243226
1,St. Bernard,514,20,2562,42,46,,,-9993785.209609691,3485216.3946821494
3,St. Charles,595,43,3819,109,47,,,-10059096.354858104,3488646.538745664
9,St. Helena,35,1,175,9,48,,,-10097824.405705085,3609672.114795786
3,St. James,256,20,2135,122,49,,,-10107397.881913304,3506939.911676027
3,St. John the Baptist,801,77,3318,231,50,,,-10079623.668960385,3513462.897983378
4,St. Landry,214,50,2711,205,51,,,-10242038.806027768,3580798.537430845
4,St. Martin,260,21,2230,32,52,,,-10210980.668096446,3532937.2949286015
3,St. Mary,250,26,1525,187,53,,,-10180345.544230137,3468099.9312919388
9,St. Tammany,1463,136,10990,315,54,,,-10011930.286608994,3561118.5352116227
9,Tangipahoa,670,28,4300,60,55,,,-10064617.80160145,3586895.2748300675
8,Tensas,6,0,95,1,56,,,-10167922.289057609,3763563.9723020704
3,Terrebonne,528,39,3850,258,57,,,-10113097.43984192,3431495.9976110803
8,Union,169,10,1007,38,58,,,-10283126.830079567,3873039.19327773
4,Vermilion,41,2,1617,28,59,,,-10277416.140201872,3483772.465794131
6,Vernon,18,2,712,4,60,,,-10373206.562029485,3646859.6663601766
9,Washington,342,26,1814,360,61,,,-10023262.61077175,3613735.3157097343
7,Webster,100,4,1900,13,62,,,-10390004.673190188,3857402.162682951
2,West Baton Rouge,123,29,724,24,63,,,-10164894.39890803,3563268.6671164106
8,West Carroll,5,0,342,25,64,,,-10180913.273633184,3867302.8079597773
2,West Feliciana,184,6,83,321,65,,,-10176004.0840892,3616641.5648341277
6,Winn,52,2,394,47,66,,,-10312270.272769246,3756026.2806381825
