LDHH,Parish,Cases,Deaths,Commercial Tests,State Tests,FID,Column10,Column11,x,y
4,Acadia,134,10,1920,42,1,,,-10287256.783187998,3540974.1934074564
5,Allen,90,9,379,32,2,,,-10333543.42745984,3587782.93213322
2,Ascension,644,40,3501,59,3,,,-10120199.62335453,3529750.239441165
3,Assumption,197,6,788,53,4,,,-10137042.262311555,3490821.6645793305
6,Avoyelles,74,7,907,57,5,,,-10241549.000268279,3642689.4146340676
5,Beauregard,43,3,694,8,6,,,-10390928.624963773,3587216.1699105264
7,Bienville,76,13,541,19,7,,,-10358946.535258865,3809003.114831105
7,Bossier,295,17,5644,44,8,,,-10420083.199602531,3852857.002733777
7,Caddo,1610,114,13805,124,9,,,-10450952.094399506,3839827.798885799
5,Calcasieu,455,31,5852,126,10,,,-10392565.021478435,3533072.5757281906
8,Caldwell,31,0,275,97,11,,,-10254373.005607665,3775449.62557093
5,Cameron,3,0,77,1,12,,,-10370134.14408359,3493112.751841207
6,Catahoula,45,2,219,8,13,,,-10230428.183138032,3715327.4434908433
7,Claiborne,58,7,451,25,14,,,-10352233.969964031,3871825.723239455
6,Concordia,39,4,235,6,15,,,-10201318.13629559,3690859.394422525
7,De Soto,198,12,1389,20,16,,,-10434576.997303816,3770825.3006083504
2,East Baton Rouge,2086,153,9561,603,17,,,-10140715.805507733,3572952.0446759933
8,East Carroll,9,0,269,4,18,,,-10156233.742524315,3859896.394859259
2,East Feliciana,129,16,397,179,19,,,-10135138.699018989,3612660.396081652
4,Evangeline,59,1,599,90,20,,,-10286577.734294157,3597627.73082642
8,Franklin,131,3,696,32,21,,,-10205069.603135323,3780849.991122153
6,Grant,15,0,307,8,22,,,-10303676.408080004,3710901.1912284456
4,Iberia,267,23,2133,207,23,,,-10213919.50265339,3499442.344662809
2,Iberville,476,32,1118,372,24,,,-10170170.942771632,3531648.978740774
8,Jackson,42,3,350,27,25,,,-10303487.164945656,3803043.454476528
1,Jefferson,6388,371,24197,851,26,,,-10033014.198165242,3468945.9830374937
5,Jefferson Davis,64,6,731,118,27,,,-10332018.350435972,3538039.0255269627
6,La Salle,26,0,414,26,28,,,-10259259.93125349,3720999.218044266
4,Lafayette,466,20,9073,92,29,,,-10248506.46844286,3530168.865117412
3,Lafourche,669,52,2973,387,30,,,-10067322.865227725,3448429.5162453293
8,Lincoln,90,9,635,79,31,,,-10315398.350460537,3842561.460019133
9,Livingston,238,16,2682,43,32,,,-10101041.53898901,3561580.8148531397
8,Madison,8,0,154,11,33,,,-10157391.465228565,3811637.432980501
8,Morehouse,55,4,768,31,34,,,-10219329.629905943,3871499.85631458
7,Natchitoches,87,4,745,48,35,,,-10363432.710737834,3727167.025326693
1,Orleans,6538,441,23186,1784,36,,,-10005685.263175491,3512320.6196337542
8,Ouachita,770,22,5556,251,37,,,-10258625.410155967,3826287.7042223224
,Out of State,0,0,3266,125,38,,,0,0
,Parish Under Investigation,63,0,0,0,39,,,0,0
1,Plaquemines,180,17,954,10,40,,,-10001555.310067061,3456784.848227697
2,Pointe Coupee,103,15,435,116,41,,,-10193113.889824126,3581957.3746667574
6,Rapides,281,10,2373,112,42,,,-10300748.705472142,3658620.1381813665
7,Red River,32,5,203,14,43,,,-10390550.138695076,3775561.314531145
8,Richland,74,0,806,25,44,,,-10211648.585041204,3824147.525620587
7,Sabine,17,1,362,25,45,,,-10411411.411269734,3707251.3324243226
1,St. Bernard,475,20,2031,41,46,,,-9993785.209609691,3485216.3946821494
3,St. Charles,582,40,3203,68,47,,,-10059096.354858104,3488646.538745664
9,St. Helena,30,1,132,7,48,,,-10097824.405705085,3609672.114795786
3,St. James,250,20,1755,108,49,`,,-10107397.881913304,3506939.911676027
3,St. John the Baptist,772,71,2732,189,50,,,-10079623.668960385,3513462.897983378
4,St. Landry,186,45,2211,88,51,,,-10242038.806027768,3580798.537430845
4,St. Martin,244,18,1874,30,52,,,-10210980.668096446,3532937.2949286015
3,St. Mary,205,23,1024,155,53,,,-10180345.544230137,3468099.9312919388
9,St. Tammany,1325,114,8465,278,54,,,-10011930.286608994,3561118.5352116227
9,Tangipahoa,584,23,3222,59,55,,,-10064617.80160145,3586895.2748300675
8,Tensas,2,0,58,1,56,,,-10167922.289057609,3763563.9723020704
3,Terrebonne,459,33,2600,247,57,,,-10113097.43984192,3431495.9976110803
8,Union,135,7,793,30,58,,,-10283126.830079567,3873039.19327773
4,Vermilion,38,1,1429,21,59,,,-10277416.140201872,3483772.465794131
6,Vernon,16,2,597,4,60,,,-10373206.562029485,3646859.6663601766
9,Washington,285,21,1285,313,61,,,-10023262.61077175,3613735.3157097343
7,Webster,92,4,1588,13,62,,,-10390004.673190188,3857402.162682951
2,West Baton Rouge,110,22,566,21,63,,,-10164894.39890803,3563268.6671164106
8,West Carroll,4,0,243,22,64,,,-10180913.273633184,3867302.8079597773
2,West Feliciana,149,3,64,230,65,,,-10176004.0840892,3616641.5648341277
6,Winn,42,2,317,35,66,,,-10312270.272769246,3756026.2806381825
