LDH Region,Parish,Cases,Deaths,Commercial Tests,State Tests,FID,Column10,Column11,x,y
4,Acadia,192,11,2770,91,1,,,-10287256.783187998,3540974.1934074564
5,Allen,99,10,515,41,2,,,-10333543.42745984,3587782.93213322
2,Ascension,752,49,5752,68,3,,,-10120199.62335453,3529750.239441165
3,Assumption,229,11,1323,131,4,,,-10137042.262311555,3490821.6645793305
6,Avoyelles,89,9,1233,77,5,,,-10241549.000268279,3642689.4146340676
5,Beauregard,51,4,1016,14,6,,,-10390928.624963773,3587216.1699105264
7,Bienville,82,20,719,20,7,,,-10358946.535258865,3809003.114831105
7,Bossier,342,23,7517,46,8,,,-10420083.199602531,3852857.002733777
7,Caddo,1864,155,18724,126,9,,,-10450952.094399506,3839827.798885799
5,Calcasieu,514,40,8182,186,10,,,-10392565.021478435,3533072.5757281906
8,Caldwell,50,0,472,117,11,,,-10254373.005607665,3775449.62557093
5,Cameron,3,0,106,1,12,,,-10370134.14408359,3493112.751841207
6,Catahoula,104,3,411,13,13,,,-10230428.183138032,3715327.4434908433
7,Claiborne,58,10,602,32,14,,,-10352233.969964031,3871825.723239455
6,Concordia,56,4,410,6,15,,,-10201318.13629559,3690859.394422525
7,De Soto,218,15,2033,20,16,,,-10434576.997303816,3770825.3006083504
2,East Baton Rouge,3009,208,16342,921,17,,,-10140715.805507733,3572952.0446759933
8,East Carroll,32,0,470,5,18,,,-10156233.742524315,3859896.394859259
2,East Feliciana,176,22,690,322,19,,,-10135138.699018989,3612660.396081652
4,Evangeline,66,1,909,198,20,,,-10286577.734294157,3597627.73082642
8,Franklin,268,8,1254,223,21,,,-10205069.603135323,3780849.991122153
6,Grant,20,1,437,12,22,,,-10303676.408080004,3710901.1912284456
4,Iberia,353,32,3199,215,23,,,-10213919.50265339,3499442.344662809
2,Iberville,524,38,1683,436,24,,,-10170170.942771632,3531648.978740774
8,Jackson,68,9,558,53,25,,,-10303487.164945656,3803043.454476528
1,Jefferson,6982,427,34881,861,26,,,-10033014.198165242,3468945.9830374937
5,Jefferson Davis,69,6,951,396,27,,,-10332018.350435972,3538039.0255269627
6,La Salle,37,0,591,32,28,,,-10259259.93125349,3720999.218044266
4,Lafayette,578,23,12127,229,29,,,-10248506.46844286,3530168.865117412
3,Lafourche,738,63,4905,516,30,,,-10067322.865227725,3448429.5162453293
8,Lincoln,119,13,1040,102,31,,,-10315398.350460537,3842561.460019133
9,Livingston,344,24,4299,56,32,,,-10101041.53898901,3561580.8148531397
8,Madison,24,0,258,11,33,,,-10157391.465228565,3811637.432980501
8,Morehouse,85,5,1260,38,34,,,-10219329.629905943,3871499.85631458
7,Natchitoches,101,12,1176,67,35,,,-10363432.710737834,3727167.025326693
1,Orleans,6781,495,33262,1786,36,,,-10005685.263175491,3512320.6196337542
8,Ouachita,931,31,8001,314,37,,,-10258625.410155967,3826287.7042223224
,Out of State,0,0,5579,158,38,,,0,0
,Parish Under Investigation,72,0,0,0,39,,,0,0
1,Plaquemines,194,16,1353,10,40,,,-10001555.310067061,3456784.848227697
2,Pointe Coupee,163,20,833,165,41,,,-10193113.889824126,3581957.3746667574
6,Rapides,437,14,3453,317,42,,,-10300748.705472142,3658620.1381813665
7,Red River,42,6,336,15,43,,,-10390550.138695076,3775561.314531145
8,Richland,106,1,1437,30,44,,,-10211648.585041204,3824147.525620587
7,Sabine,29,0,666,29,45,,,-10411411.411269734,3707251.3324243226
1,St. Bernard,511,18,2890,42,46,,,-9993785.209609691,3485216.3946821494
3,St. Charles,613,41,4311,154,47,,,-10059096.354858104,3488646.538745664
9,St. Helena,41,1,199,9,48,,,-10097824.405705085,3609672.114795786
3,St. James,282,23,2395,207,49,,,-10107397.881913304,3506939.911676027
3,St. John the Baptist,829,77,3718,352,50,,,-10079623.668960385,3513462.897983378
4,St. Landry,230,51,3333,262,51,,,-10242038.806027768,3580798.537430845
4,St. Martin,272,22,2510,36,52,,,-10210980.668096446,3532937.2949286015
3,St. Mary,269,29,1929,203,53,,,-10180345.544230137,3468099.9312919388
9,St. Tammany,1528,142,13027,322,54,,,-10011930.286608994,3561118.5352116227
9,Tangipahoa,719,31,5085,60,55,,,-10064617.80160145,3586895.2748300675
8,Tensas,5,0,115,2,56,,,-10167922.289057609,3763563.9723020704
3,Terrebonne,567,43,4653,268,57,,,-10113097.43984192,3431495.9976110803
8,Union,236,14,1408,44,58,,,-10283126.830079567,3873039.19327773
4,Vermilion,44,3,1926,35,59,,,-10277416.140201872,3483772.465794131
6,Vernon,20,2,1021,4,60,,,-10373206.562029485,3646859.6663601766
9,Washington,363,32,2173,387,61,,,-10023262.61077175,3613735.3157097343
7,Webster,113,5,1990,13,62,,,-10390004.673190188,3857402.162682951
2,West Baton Rouge,148,30,958,27,63,,,-10164894.39890803,3563268.6671164106
8,West Carroll,12,0,420,25,64,,,-10180913.273633184,3867302.8079597773
2,West Feliciana,184,8,115,348,65,,,-10176004.0840892,3616641.5648341277
6,Winn,80,2,445,80,66,,,-10312270.272769246,3756026.2806381825
