LDH Region,Parish,Cases,Deaths,Commercial Tests,State Tests,FID,Column10,Column11,x,y
4,Acadia,151,11,2543,65,1,,,-10287256.783188,3540974.19340746
5,Allen,94,10,500,36,2,,,-10333543.4274598,3587782.93213322
2,Ascension,704,48,5045,66,3,,,-10120199.6233545,3529750.23944116
3,Assumption,231,11,1127,103,4,,,-10137042.2623116,3490821.66457933
6,Avoyelles,79,9,1180,74,5,,,-10241549.0002683,3642689.41463407
5,Beauregard,48,4,945,12,6,,,-10390928.6249638,3587216.16991053
7,Bienville,80,20,677,20,7,,,-10358946.5352589,3809003.1148311
7,Bossier,324,22,7077,45,8,,,-10420083.1996025,3852857.00273378
7,Caddo,1800,140,17606,126,9,,,-10450952.0943995,3839827.7988858
5,Calcasieu,505,40,7596,171,10,,,-10392565.0214784,3533072.57572819
8,Caldwell,48,0,453,117,11,,,-10254373.0056077,3775449.62557093
5,Cameron,3,0,103,1,12,,,-10370134.1440836,3493112.75184121
6,Catahoula,103,3,388,12,13,,,-10230428.183138,3715327.44349084
7,Claiborne,59,10,565,32,14,,,-10352233.969964,3871825.72323945
6,Concordia,51,4,394,6,15,,,-10201318.1362956,3690859.39442252
7,De Soto,221,14,1874,20,16,,,-10434576.9973038,3770825.30060835
2,East Baton Rouge,2487,199,13198,815,17,,,-10140715.8055077,3572952.04467599
8,East Carroll,25,0,425,4,18,,,-10156233.7425243,3859896.39485926
2,East Feliciana,145,21,564,208,19,,,-10135138.699019,3612660.39608165
4,Evangeline,74,1,861,116,20,,,-10286577.7342942,3597627.73082642
8,Franklin,256,7,1182,217,21,,,-10205069.6031353,3780849.99112215
6,Grant,18,1,419,10,22,,,-10303676.40808,3710901.19122845
4,Iberia,352,26,3001,213,23,,,-10213919.5026534,3499442.34466281
2,Iberville,507,38,1441,416,24,,,-10170170.9427716,3531648.97874077
8,Jackson,67,8,512,48,25,,,-10303487.1649457,3803043.45447653
1,Jefferson,6833,408,32337,860,26,,,-10033014.1981652,3468945.98303749
5,Jefferson Davis,69,6,922,319,27,,,-10332018.350436,3538039.02552696
6,La Salle,35,0,553,32,28,,,-10259259.9312535,3720999.21804427
4,Lafayette,537,22,11527,167,29,,,-10248506.4684429,3530168.86511741
3,Lafourche,716,60,4549,497,30,,,-10067322.8652277,3448429.51624533
8,Lincoln,115,13,948,99,31,,,-10315398.3504605,3842561.46001913
9,Livingston,293,23,3695,51,32,,,-10101041.538989,3561580.81485314
8,Madison,14,0,228,11,33,,,-10157391.4652286,3811637.4329805
8,Morehouse,87,5,1184,36,34,,,-10219329.6299059,3871499.85631458
7,Natchitoches,100,9,1135,62,35,,,-10363432.7107378,3727167.02532669
1,Orleans,6753,481,30573,1786,36,,,-10005685.2631755,3512320.61963375
8,Ouachita,861,31,7507,304,37,,,-10258625.410156,3826287.70422232
,Out of State,0,0,5029,145,38,,,0,0
,Parish Under Investigation,64,0,0,0,39,,,0,0
1,Plaquemines,191,16,1276,10,40,,,-10001555.3100671,3456784.8482277
2,Pointe Coupee,139,16,617,155,41,,,-10193113.8898241,3581957.37466676
6,Rapides,394,13,3318,266,42,,,-10300748.7054721,3658620.13818137
7,Red River,37,6,316,15,43,,,-10390550.1386951,3775561.31453115
8,Richland,104,1,1343,27,44,,,-10211648.5850412,3824147.52562059
7,Sabine,28,0,616,29,45,,,-10411411.4112697,3707251.33242432
1,St. Bernard,515,18,2699,42,46,,,-9993785.20960969,3485216.39468215
3,St. Charles,600,43,4068,109,47,,,-10059096.3548581,3488646.53874566
9,St. Helena,38,1,180,9,48,,,-10097824.4057051,3609672.11479579
3,St. James,268,22,2271,127,49,,,-10107397.8819133,3506939.91167603
3,St. John the Baptist,808,77,3505,232,50,,,-10079623.6689604,3513462.89798338
4,St. Landry,241,51,3123,214,51,,,-10242038.8060278,3580798.53743085
4,St. Martin,276,22,2368,32,52,,,-10210980.6680964,3532937.2949286
3,St. Mary,257,26,1711,189,53,,,-10180345.5442301,3468099.93129194
9,St. Tammany,1492,142,11800,321,54,,,-10011930.286609,3561118.53521162
9,Tangipahoa,687,30,4611,60,55,,,-10064617.8016015,3586895.27483007
8,Tensas,6,0,102,1,56,,,-10167922.2890576,3763563.97230207
3,Terrebonne,542,39,4218,259,57,,,-10113097.4398419,3431495.99761108
8,Union,227,11,1288,38,58,,,-10283126.8300796,3873039.19327773
4,Vermilion,42,2,1740,30,59,,,-10277416.1402019,3483772.46579413
6,Vernon,19,2,881,4,60,,,-10373206.5620295,3646859.66636018
9,Washington,350,29,1924,373,61,,,-10023262.6107717,3613735.31570973
7,Webster,112,4,2077,13,62,,,-10390004.6731902,3857402.16268295
2,West Baton Rouge,124,30,767,25,63,,,-10164894.398908,3563268.66711641
8,West Carroll,5,0,394,25,64,,,-10180913.2736332,3867302.80795978
2,West Feliciana,187,7,86,325,65,,,-10176004.0840892,3616641.56483413
6,Winn,64,2,432,58,66,,,-10312270.2727692,3756026.28063818
