USPS,GEOID,ANSICODE,NAME,ALAND,AWATER,ALAND_SQTX,AWATER_SQTX,INTPTLAT,INTPTLONG,ROTATE,NOTES
TX,48439,1384005,Tarrant,2236863682,100074445,863.658,38.639,32.772119,-97.291224,0,0
TX,48441,1384006,Taylor,2371228266,9760311,915.5360000000001,3.7680000000000002,32.297126,-99.89043000000001,0,0
TX,48443,1384007,Terrell,6107081791,259482,2357.958,0.1,30.232343,-102.072513,0,0
TX,48445,1384008,Terry,2302083289,5443860,888.8389999999999,2.102,33.171229,-102.33928399999999,0,0
TX,48447,1384009,Throckmorton,2363499444,7586186,912.552,2.929,33.170695,-99.20579599999999,0,0
TX,48449,1384010,Titus,1051697794,50713653,406.06300000000005,19.581,33.214599,-94.96678299999999,0,0
TX,48451,1384011,Tom Green,3941965407,48077315,1522.001,18.563,31.398822999999997,-100.463788,0,0
TX,48453,1384012,Travis,2569870978,79794856,992.2330000000001,30.809,30.239513,-97.69126999999999,0,0
TX,48455,1384013,Trinity,1796924637,52256877,693.797,20.176,31.096675,-95.151687,0,0
TX,48457,1384014,Tyler,2394158696,29093511,924.39,11.232999999999999,30.769295,-94.375656,0,0
TX,48459,1384015,Upshur,1509910856,24878112,582.98,9.605,32.735349,-94.94118399999999,0,0
TX,48461,1384016,Upton,3215010598,464309,1241.323,0.179,31.353816,-102.041546,0,0
TX,48463,1384017,Uvalde,4019455750,17385901,1551.921,6.712999999999999,29.350308000000002,-99.768427,0,0
TX,48465,1384018,Val Verde,8144863666,227711335,3144.75,87.92,29.875284999999998,-101.14332399999999,0,0
TX,48467,1384019,Van Zandt,2182248065,44152062,842.571,17.047,32.558787,-95.836906,0,0
TX,48469,1384020,Victoria,2284644911,17425944,882.1060000000001,6.728,28.79637,-96.971198,0,0
TX,48471,1384021,Walker,2031124893,44747191,784.222,17.277,30.743163,-95.569825,0,0
TX,48473,1384022,Waller,1329330074,11827973,513.257,4.567,30.01359,-95.98214899999999,0,0
TX,48475,1384023,Ward,2164201060,624206,835.6030000000001,0.24100000000000002,31.513069,-103.105113,0,0
TX,48477,1384024,Washington,1564854987,45471813,604.194,17.557000000000002,30.215075,-96.41027199999999,0,0
TX,48479,1384025,Webb,8706186717,36555095,3361.478,14.114,27.760799,-99.340752,0,0
TX,48481,1384026,Wharton,2813117310,21287759,1086.151,8.219,29.27848,-96.229674,0,0
TX,48483,1384027,Wheeler,2368629213,2455912,914.533,0.948,35.392593,-100.253107,0,0
TX,48485,1384028,Wichita,1625459969,13644166,627.594,5.268,33.988212,-98.70801,0,0
TX,48487,1384029,Wilbarger,2514738098,18202665,970.946,7.028,34.084920000000004,-99.24244,0,0
TX,48489,1384030,Willacy,1529652132,502884780,590.602,194.165,26.481861,-97.59473100000001,0,0
TX,48491,1384031,Williamson,2896486658,41622974,1118.34,16.070999999999998,30.649082,-97.605065,0,0
TX,48493,1384032,Wilson,2081662852,12111366,803.735,4.676,29.173883,-98.08673399999999,0,0
TX,48495,1384033,Winkler,2178876165,19838,841.2689999999999,0.008,31.832862,-103.054925,0,0
TX,48497,1384034,Wise,2342369030,47038990,904.3939999999999,18.162,33.219095,-97.653997,0,0
TX,48499,1384035,Wood,1671170961,130732368,645.243,50.476000000000006,32.783588,-95.382166,0,0
TX,48501,1384036,Yoakum,2071252476,34329,799.715,0.013000000000000001,33.162397999999996,-102.83224200000001,0,0
TX,48503,1384037,Young,2368539760,42371869,914.498,16.36,33.158778000000005,-98.67839000000001,0,0
TX,48505,1384038,Zapata,2585876219,154370982,998.4119999999999,59.603,26.996980999999998,-99.182603,0,0
TX,48507,1384039,Zavala,3360268878,11208707,1297.407,4.328,28.864652000000003,-99.75983000000001,0,0
