County,Cases,Deaths
Allegany  ,343,19
Anne Arundel  ,7700,219
Baltimore City  ,13507,429
Baltimore County  ,14043,551
Calvert  ,742,27
Caroline  ,465,3
Carroll  ,1613,116
Cecil  ,736,29
Charles  ,2175,91
Dorchester  ,413,5
Frederick  ,3231,114
Garrett  ,58,114
Harford  ,2167,66
Howard  ,4089,110
Kent  ,246,22
Montgomery  ,19071,771
Prince George's  ,24719,745
Queen Anne's  ,487,25
St. Mary's  ,1061,52
Somerset  ,154,3
Talbot  ,421,4
Washington  ,1138,31
Wicomico  ,1405,45
Worcester  ,731,19
Data not available  ,731,8
Total,101446,3618
