county,type,x,y
Fairfield,0,129,400
Hartford,0,383,130
Litchfield,0,193,133
Middlesex,0,450,300
New Haven,0,324,327
New London,0,623,285
Tolland,0,528,110
Windham,0,668,116
Other,0,730,135
Out of State,0,730,195
Unknown,,,
Not Reported,,,
