County,Cases,Deaths
Alcona,18,1
Alger,2,0
Allegan,259,6
Alpena,105,11
Antrim,15,0
Arenac,34,2
Baraga,1,0
Barry,76,2
Bay,341,28
Benzie,5,0
Berrien,695,60
Branch,236,2
Calhoun,452,30
Cass,113,4
Charlevoix,18,2
Cheboygan,21,2
Chippewa,2,0
Clare,26,2
Clinton,159,11
Crawford,62,5
Delta,18,2
Detroit City,11426,1428
Dickinson,6,2
Eaton,206,7
Emmet,21,2
FCI,170,5
Genesee,2126,260
Gladwin,26,1
Gogebic,6,1
Grand Traverse,38,6
Gratiot,82,13
Hillsdale,172,25
Houghton,11,0
Huron,55,3
Ingham,826,29
Ionia,170,4
Iosco,96,9
Iron,4,0
Isabella,95,8
Jackson,468,29
Kalamazoo,941,65
Kalkaska,19,2
Kent,4247,125
Keweenaw,1,0
Lake,6,0
Lapeer,228,30
Leelanau,12,0
Lenawee,164,6
Livingston,431,27
Luce,3,0
MDOC,4096,68
Mackinac,8,0
Macomb,6996,861
Manistee,14,0
Marquette,63,11
Mason,36,0
Mecosta,25,2
Menominee,9,0
Midland,119,9
Missaukee,18,1
Monroe,505,20
Montcalm,76,1
Montmorency,5,0
Muskegon,777,49
Newaygo,140,0
Oakland,8683,1040
Oceana,188,3
Ogemaw,23,2
Osceola,21,0
Oscoda,7,1
Otsego,103,10
Ottawa,902,46
Out-of-State,64,0
Presque Isle,12,0
Roscommon,22,0
Saginaw,1180,119
Sanilac,42,5
Schoolcraft,4,0
Shiawassee,242,26
St Clair,467,48
St Joseph,219,3
Tuscola,219,26
Unknown,3,0
Van Buren,193,6
Washtenaw,1419,103
Wayne,10000,1144
Wexford,16,3
Total,61630,5864
