County,Cases,Deaths
Albany,0,0
Albany,682,0
Allegany,30,0
Bronx,28823,0
Broome,192,0
Cattaraugus,34,0
Cayuga,36,0
Chautauqua,25,0
Chemung,73,0
Chenango,78,0
Clinton,49,0
Columbia,107,0
Cortland,25,0
Delaware,49,0
Dutchess,2240,0
Erie,2070,0
Essex,18,0
Franklin,13,0
Fulton,27,0
Genesee,117,0
Greene,85,0
Hamilton,3,0
Herkimer,49,0
Jefferson,54,0
Kings,36482,0
Lewis,8,0
Livingston,39,0
Madison,106,0
Monroe,1032,0
Montgomery,35,0
Nassau,30013,0
New York,18220,0
Niagara,246,0
Oneida,275,0
Onondaga,498,0
Ontario,70,0
Orange,6379,0
Orleans,46,0
Oswego,47,0
Otsego,48,0
Putnam,592,0
Queens,41237,0
Rensselaer,173,0
Richmond,9674,0
Rockland,9364,0
Saratoga,251,0
Schenectady,268,0
Schoharie,20,0
Schuyler,6,0
Seneca,18,0
St. Lawrence,105,0
Steuben,167,0
Suffolk,26888,0
Sullivan,537,0
Tioga,35,0
Tompkins,117,0
Ulster,854,0
Warren,96,0
Washington,63,0
Wayne,50,0
Westchester,23803,0
Wyoming,36,0
Yates,9,0
Total,242786,0
