County,Cases,Deaths
Albany,0,0
Albany,2453,0
Allegany,74,0
Bronx,49388,0
Broome,986,0
Cattaraugus,153,0
Cayuga,140,0
Chautauqua,218,0
Chemung,160,0
Chenango,203,0
Clinton,120,0
Columbia,503,0
Cortland,87,0
Delaware,98,0
Dutchess,4440,0
Erie,8327,0
Essex,55,0
Franklin,44,0
Fulton,270,0
Genesee,266,0
Greene,282,0
Hamilton,7,0
Herkimer,234,0
Jefferson,128,0
Kings,62053,0
Lewis,34,0
Livingston,162,0
Madison,390,0
Monroe,4620,0
Montgomery,148,0
Nassau,43017,0
New York,30250,0
Niagara,1424,0
Oneida,2010,0
Onondaga,3398,0
Ontario,343,0
Orange,11010,0
Orleans,290,0
Oswego,239,0
Otsego,103,0
Putnam,1408,0
Queens,67679,0
Rensselaer,687,0
Richmond,14681,0
Rockland,13841,0
Saratoga,688,0
Schenectady,990,0
Schoharie,68,0
Schuyler,20,0
Seneca,83,0
St. Lawrence,258,0
Steuben,288,0
Suffolk,42967,0
Sullivan,1476,0
Tioga,180,0
Tompkins,225,0
Ulster,1926,0
Warren,294,0
Washington,254,0
Wayne,243,0
Westchester,35799,0
Wyoming,110,0
Yates,52,0
Total,412344,0
